TOWN_ID,TOWN,VMT_SOV_AM,VMT_SOV_MD,VMT_SOV_PM,VMT_SOV_NT,VMT_HOV_AM,VMT_HOV_MD,VMT_HOV_PM,VMT_HOV_NT,VMT_TRK_AM,VMT_TRK_MD,VMT_TRK_PM,VMT_TRK_NT,VMT_TOTAL,VHT_SOV_AM,VHT_SOV_MD,VHT_SOV_PM,VHT_SOV_NT,VHT_HOV_AM,VHT_HOV_MD,VHT_HOV_PM,VHT_HOV_NT,VHT_TRK_AM,VHT_TRK_MD,VHT_TRK_PM,VHT_TRK_NT,VHT_TOTAL,VOC_SOV_AM,VOC_SOV_MD,VOC_SOV_PM,VOC_SOV_NT,VOC_HOV_AM,VOC_HOV_MD,VOC_HOV_PM,VOC_HOV_NT,VOC_TRK_AM,VOC_TRK_MD,VOC_TRK_PM,VOC_TRK_NT,VOC_TOTAL,NOX_SOV_AM,NOX_SOV_MD,NOX_SOV_PM,NOX_SOV_NT,NOX_HOV_AM,NOX_HOV_MD,NOX_HOV_PM,NOX_HOV_NT,NOX_TRK_AM,NOX_TRK_MD,NOX_TRK_PM,NOX_TRK_NT,NOX_TOTAL,CO_SOV_AM,CO_SOV_MD,CO_SOV_PM,CO_SOV_NT,CO_HOV_AM,CO_HOV_MD,CO_HOV_PM,CO_HOV_NT,CO_TRK_AM,CO_TRK_MD,CO_TRK_PM,CO_TRK_NT,CO_TOTAL,CO2_SOV_AM,CO2_SOV_MD,CO2_SOV_PM,CO2_SOV_NT,CO2_HOV_AM,CO2_HOV_MD,CO2_HOV_PM,CO2_HOV_NT,CO2_TRK_AM,CO2_TRK_MD,CO2_TRK_PM,CO2_TRK_NT,CO2_TOTAL
2,ACTON,75670,92930,76940,82330,13200,26970,17780,24950,14760,32070,15900,14360,487860,2140,2560,2210,2140,380,740,510,650,420,864,439,360,13413,31970,38980,32510,34080,5580,11310,7510,10330,6240,13340,6640,5870,204360,80550,99390,81900,88790,14050,28840,18930,26910,15760,34480,17050,15750,522400,1040,1290,1060,1150,180,370,250,350,195,442,224,205,6756,42120,51730,42830,45830,7350,15010,9900,13890,8210,17850,8850,8000,271570
10,ARLINGTON,63940,90770,74190,89810,11930,25880,16400,25230,9970,21190,10380,9070,448760,2510,3670,3160,3380,480,1060,700,960,403,861,442,343,17969,30210,42890,36130,41310,5640,12410,7990,11770,4740,10100,5020,4200,212410,70590,100210,83350,97940,13170,28820,18430,27680,11050,23510,11610,9920,496280,900,1270,1050,1250,170,370,230,350,134,301,144,125,6294,35590,50530,41300,49990,6640,14410,9130,14040,5550,11800,5770,5050,249800
14,ASHLAND,38780,49210,43610,44530,6610,14600,10470,14440,8280,17260,8830,7150,263770,1260,1530,1440,1340,210,440,330,420,246,513,265,205,8199,17040,21410,19360,19170,2910,6290,4550,6160,3530,7370,3800,3030,114620,41550,52630,46820,47560,7080,15590,11200,15390,8830,18410,9430,7690,282180,530,680,600,610,90,200,140,200,123,236,122,102,3633,21590,27390,24280,24790,3680,8130,5830,8040,4620,9600,4920,3980,146850
23,BEDFORD,88190,105970,91850,98940,12390,26010,17050,25600,16540,38630,17960,17520,556650,2890,3160,2930,2590,410,770,540,670,542,1157,560,491,16710,38760,45200,40370,40960,5500,11090,7420,10600,7310,16620,7810,7390,239030,94500,112960,98420,106710,13300,27730,18230,27610,17740,41240,19210,18770,596420,1220,1460,1270,1390,170,360,240,360,225,532,244,245,7716,49090,58990,51130,55070,6900,14480,9490,14250,9200,21510,10000,9750,309860
25,BELLINGHAM,94650,117350,95740,108740,14010,36310,24390,36850,21610,47840,23390,21310,642190,2630,3140,2650,2790,410,1030,710,1000,614,1315,662,582,17533,39710,48880,40160,44750,5980,15340,18020,15350,9170,20030,9880,8880,276150,101230,126090,102390,117710,14930,38650,35510,39600,23150,51400,25020,22870,698550,1310,1640,1330,1530,190,500,420,510,297,668,326,296,9017,52690,65320,53290,60530,7800,20210,13580,20510,12030,26630,13020,11860,357470
26,BELMONT,76370,104460,82810,101620,13190,29400,17550,27390,11370,24730,12030,10590,511510,2420,3510,2870,3230,430,1040,630,910,391,869,440,352,17092,33220,46380,37220,44660,5800,13360,7980,12160,5080,11140,5500,4690,227190,81680,112140,89350,108890,14130,31880,19030,29400,12240,26710,13080,11380,549910,1050,1440,1150,1400,180,410,240,380,154,341,174,145,7064,42510,58150,46100,56570,7340,16370,9770,15250,6330,13760,6690,5890,284730
30,BEVERLY,88130,125620,107230,121120,14800,32760,22760,32380,19230,42790,20290,17680,644790,2500,3680,3260,3300,430,980,700,910,548,1233,606,497,18644,37230,53580,46160,50450,6310,14100,9800,13580,8140,18130,8700,7470,273650,93810,133910,114520,130140,15780,34990,24310,34630,20530,45670,21650,18910,688850,1220,1730,1480,1690,200,450,310,450,269,591,277,248,8915,49060,69930,59690,67420,8240,18240,12670,18020,10710,23820,11300,9840,358940
34,BOLTON,114530,125050,105030,113300,13220,30200,20070,29230,18750,43110,20970,16810,650270,2480,2560,2220,2230,310,650,440,610,403,901,451,349,13604,45410,48890,41430,43960,5320,11970,7960,11470,7410,16940,8300,6590,255650,131770,149370,122310,139640,14750,34750,23090,34430,21670,50860,24250,19920,766810,1680,1870,1550,1710,190,440,290,430,268,640,307,255,9630,63750,69610,58460,63070,7360,16810,11170,16270,10450,24000,11670,9350,361970
35,BOSTON,1100810,1624370,1329170,1669190,269210,549060,370010,532160,291690,640500,306380,280610,8963160,52780,76260,68120,67280,12340,26180,18500,21670,13840,31410,15650,12230,416260,555360,819490,683860,788690,133390,277000,190370,251450,146060,327180,159540,137130,4469520,1262630,1863150,1541840,1842790,305420,629770,429210,587500,333020,739890,357630,315850,10208700,15840,23370,19270,23430,3850,7900,5360,7470,4189,9255,4459,3984,128377,612770,904210,739880,929150,149860,305630,205970,296230,162380,356530,170550,156200,4989360
37,BOXBOROUGH,69190,77620,65290,68990,7540,17180,11460,16120,10820,24910,12000,8570,389690,1290,1430,1230,1220,150,320,220,290,206,454,225,153,7188,26570,29810,25170,26350,2940,6600,4430,6170,4180,9550,4620,3270,149660,90020,100980,83280,95720,9130,22350,14360,21850,13820,33010,15450,11740,511710,1070,1200,1000,1080,110,260,170,250,164,382,184,133,6003,38510,43210,36340,38400,4200,9560,6380,8970,6030,13870,6680,4770,216920
40,BRAINTREE,215050,274270,250120,296010,37790,73200,57890,77170,40090,91890,40670,41510,1495660,9140,9510,11630,9000,1580,2560,2630,2390,1525,3130,1783,1298,56176,103120,123280,123930,127430,18120,32900,28680,33570,18580,41190,19830,18090,688720,239460,295940,283760,316140,42080,78980,65680,82530,43850,99160,45700,44420,1637700,3040,3790,3570,4080,530,1010,830,1060,556,1270,584,575,20895,119710,152670,139230,164770,21040,40750,32220,42960,22320,51160,22630,23100,832560
46,BROOKLINE,92550,140360,113050,133440,17970,41790,25870,38150,14590,31060,15090,13960,677880,4500,6730,5840,5910,860,2020,1330,1710,706,1539,774,636,32555,46690,70810,59520,64990,9070,21080,13620,18900,7440,15970,7840,6920,342850,106150,160990,132720,149920,20610,47930,30370,43280,16830,36030,17600,15840,778270,1330,2020,1650,1890,260,600,380,550,205,452,224,195,9756,51520,78130,62930,74280,10000,23260,14400,21240,8120,17300,8410,7770,377360
48,BURLINGTON,194660,236760,201100,242650,25430,58990,37660,61680,39480,91370,42990,40570,1273340,6200,7270,6600,6380,820,1820,1250,1650,1230,2761,1376,1084,38441,85550,101930,89290,100460,11180,25660,16720,25690,17090,39430,18790,16870,548660,208580,252860,215880,261700,27250,63090,40430,66280,42200,97580,46020,43640,1365510,2680,3260,2770,3400,350,810,520,860,543,1253,592,572,17610,108360,131790,111940,135070,14160,32840,20960,34330,21980,50860,23930,22580,708800
