bridgeId,healthIndex,year,structDef,deckArea,town
26K,0.9642,2007,FALSE,117.92,Acton
240,1,2007,FALSE,65.88,Acton
258,0.9801,2007,FALSE,115.52,Acton
259,0.6726,2007,FALSE,96.8,Acton
25A,0.6158,2007,FALSE,75.53,Acton
25B,0.6856,2007,FALSE,49.45514269,Acton
28J,0.8136,2007,FALSE,195.91,Acton
295,0.5824,2007,FALSE,453.53,Acton
294,0.5435,2007,FALSE,637.07,Acton
287,0.6701,2007,FALSE,519.37,Acton
28R,0.7318,2007,FALSE,355.5,Acton
29A,0.9982,2007,FALSE,370.88,Acton
28K,0.7774,2007,FALSE,73.7,Acton
23X,0.8986,2007,FALSE,68.73,Acton
255,0.9068,2007,FALSE,120.08,Acton
23Y,0.7642,2007,FALSE,86.11,Acton
256,0.5952,2007,FALSE,77.42,Acton
257,0.9983,2007,FALSE,143.08,Acton
286,0.9072,2007,FALSE,101.84,Acton
2ML,0.840299795,2007,FALSE,157.3,Arlington
2MM,0.8153,2007,FALSE,198.9,Arlington
4D3,0.9762,2007,FALSE,334.89,Arlington
4D2,0.8016,2007,FALSE,372.4,Arlington
AE2,1,2007,FALSE,1006.7696,Arlington
2DN,0.7345,2007,FALSE,1655.55,Arlington
9WP,0.7239,2007,FALSE,87.36,Arlington
4D1,0.5027,2007,TRUE,207.4,Arlington
2LK,0.7604,2007,FALSE,1261.26,Arlington
2DM,0.6467,2007,FALSE,2250.29,Arlington
2DP,0.7211,2007,FALSE,1118.74,Arlington
2DQ,0.6668,2007,FALSE,201.3,Arlington
28A,0.9692,2007,FALSE,408.8,Ashland
289,0.6277,2007,TRUE,170.8,Ashland
241,0.8896,2007,FALSE,122.5,Ashland
25H,0.6325,2007,FALSE,120.32,Ashland
242,0.8977,2007,FALSE,81.84,Ashland
243,0.6815,2007,TRUE,76.26,Ashland
25K,0.9032,2007,FALSE,416,Ashland
AE1,0.9996,2007,FALSE,423.72,Ashland
29C,0.9975,2007,FALSE,360.1,Ashland
4NY,0.777777778,2007,FALSE,665.7,Ashland
AGP,0.9985,2007,FALSE,936.32,Ashland
2K5,0.4054,2007,FALSE,148.72,Bedford
2K4,0.5827,2007,FALSE,683.22,Bedford
2B4,0.6226,2007,FALSE,117.7,Bedford
2B5,0.3056,2007,FALSE,141.52,Bedford
2B6,0.2697,2007,TRUE,116,Bedford
2B7,0.673,2007,FALSE,105.19,Bedford
AY9,1,2007,FALSE,986.5275,Bedford
AYA,1,2007,FALSE,1008.665,Bedford
734,1,2007,FALSE,726.56,Bedford
737,1,2007,FALSE,726.4384,Bedford
761,0.9972,2007,FALSE,1223.68,Bedford
2B8,0.4595,2007,TRUE,113.9,Bedford
2A9,0.5595,2007,TRUE,71.44,Bellingham
2A7,0.9959,2007,FALSE,134.2,Bellingham
AVR,1,2007,FALSE,65.27,Bellingham
2AH,0.8417,2007,FALSE,170.14,Bellingham
2A1,0.9699,2007,FALSE,185.44,Bellingham
1EV,0.6865,2007,FALSE,69.16,Bellingham
2AX,0.9812,2007,FALSE,189.8,Bellingham
2AV,0.8067,2007,FALSE,396.39,Bellingham
2AW,0.7655,2007,FALSE,632.06,Bellingham
2AT,0.7803,2007,FALSE,580.88,Bellingham
2AU,0.79550067,2007,FALSE,568.55,Bellingham
2AF,0.6884,2007,FALSE,581.94,Bellingham
2AG,0.6803,2007,FALSE,597.78,Bellingham
2AL,0.9987,2007,FALSE,148.2889329,Bellingham
2AR,0.561,2007,FALSE,942.54,Bellingham
2A8,0.9997,2007,FALSE,128.75,Bellingham
7K4,0.9986,2007,FALSE,194.7,Bellingham
2MP,0.648,2007,FALSE,487.2,Belmont
2MN,0.6467,2007,FALSE,408.9,Belmont
306,0.422,2007,TRUE,1353,Beverly
324,0.9023,2007,FALSE,237.9,Beverly
2TN,0.9866,2007,FALSE,18376.2,Beverly
307,0.5674,2007,TRUE,674.73,Beverly
308,0.903,2007,TRUE,2761.2,Beverly
2TW,1,2007,FALSE,497.07,Beverly
2TX,0.9963,2007,FALSE,678.04,Beverly
2TY,0.9878,2007,FALSE,1128.93,Beverly
31X,0.9859,2007,FALSE,597.6,Beverly
309,0.7666,2007,FALSE,912.6,Beverly
30A,0.8094,2007,FALSE,712.17,Beverly
206,0.9799,2007,FALSE,317.2,Bolton
1V4,0.8925,2007,FALSE,647.82,Bolton
1V5,0.9036,2007,FALSE,647.82,Bolton
21A,0.8112,2007,FALSE,1196.25,Bolton
1V2,0.8639,2007,FALSE,636.84,Bolton
1V3,0.7883,2007,FALSE,784.74,Bolton
381,0.943,2007,FALSE,660.66,Boston
382,0.6094,2007,FALSE,1122.4,Boston
4F3,0.3979,2007,FALSE,1196.8,Boston
4EG,0.6814,2007,TRUE,4237.44,Boston
4F0,0.5148,2007,TRUE,21147.75,Boston
4EP,0.4928,2007,FALSE,1560.99,Boston
4F2,0.401,2007,FALSE,1364.51,Boston
4EY,0.9699,2007,FALSE,14913.74,Boston
4EM,0.3412,2007,TRUE,640,Boston
4ET,0.3728,2007,TRUE,927.48,Boston
4F8,0.54,2007,FALSE,1506.25,Boston
4EF,0.7151,2007,FALSE,1207.05,Boston
37H,0.4274,2007,TRUE,3979.36,Boston
37K,0.5328,2007,TRUE,2263.8,Boston
37M,0.4084,2007,TRUE,3979.36,Boston
37P,0.9992,2007,FALSE,2586.48,Boston
37R,0.9998,2007,FALSE,770.43,Boston
4WU,-1,2007,FALSE,7974.33,Boston
4WV,0.740740741,2007,FALSE,7324.09,Boston
4WW,-1,2007,FALSE,1699.26,Boston
4WX,-1,2007,FALSE,1699.26,Boston
4WY,-1,2007,FALSE,10951.21,Boston
4X0,-1,2007,FALSE,12964.16,Boston
4X1,-1,2007,TRUE,4149.09,Boston
4X2,-1,2007,TRUE,4149.09,Boston
4X3,-1,2007,FALSE,5899.15,Boston
4X4,-1,2007,FALSE,5899.15,Boston
397,0.9983,2007,FALSE,356.4,Boston
383,0.8784,2007,FALSE,4391.18,Boston
384,0.8978,2007,TRUE,2171.94,Boston
4F4,0.7453,2007,FALSE,1206,Boston
3A3,0.5108,2007,FALSE,883.5,Boston
385,0.7792,2007,FALSE,552.66,Boston
386,0.8003,2007,FALSE,328.32,Boston
387,0.4021,2007,FALSE,474.66,Boston
4F9,0.7331,2007,FALSE,395.28,Boston
388,0.3949,2007,TRUE,7191.756,Boston
389,0.9856,2007,FALSE,4666.5,Boston
38A,0.2798,2007,TRUE,2317.13,Boston
4EU,-1,2007,FALSE,3841.48,Boston
38B,0.9848,2007,FALSE,6136.56,Boston
38C,0.9879,2007,FALSE,273.6,Boston
4TF,-1,2007,FALSE,1307.71,Boston
4TE,-1,2007,FALSE,995.6,Boston
4TD,-1,2007,FALSE,1721.86,Boston
4RF,-1,2007,FALSE,1466.64,Boston
4TC,-1,2007,FALSE,851.2,Boston
4TB,-1,2007,FALSE,2768.53,Boston
4T7,-1,2007,FALSE,64.64,Boston
4T8,-1,2007,FALSE,3519.36,Boston
4T9,-1,2007,FALSE,73.73,Boston
4TA,-1,2007,FALSE,796.16,Boston
4T6,-1,2007,FALSE,3443.72,Boston
4T5,-1,2007,FALSE,1432.6,Boston
4FE,0.5864,2007,FALSE,1509.72,Boston
4T3,-1,2007,FALSE,1153.3,Boston
4T2,-1,2007,FALSE,3375.84,Boston
4T0,-1,2007,FALSE,2559.18,Boston
4RE,-1,2007,TRUE,3588.45,Boston
2U1,0.4536,2007,FALSE,281.84,Danvers
2U2,0.7435,2007,TRUE,670.72,Danvers
2U3,0.9977,2007,FALSE,611,Danvers
2U4,0.7917,2007,FALSE,238,Danvers
2U5,0.8827,2007,FALSE,556.26,Danvers
2T4,0.797,2007,FALSE,679.4,Danvers
2T5,0.9168,2007,FALSE,679.4,Danvers
30J,1,2007,FALSE,532.56,Danvers
2VE,0.7901,2007,FALSE,896.7,Danvers
2VF,0.7901,2007,FALSE,896.7,Danvers
30K,0.986,2007,FALSE,1492.75,Danvers
2VG,0.78,2007,FALSE,806.4,Danvers
2VH,0.7682,2007,FALSE,928.2,Danvers
2T8,0.7632,2007,FALSE,1303.04,Danvers
2T9,0.7863,2007,FALSE,975.36,Danvers
366,0.979,2007,FALSE,182.97,Dedham
36K,0.7203,2007,FALSE,265.05,Dedham
33K,0.6093,2007,FALSE,156.87,Dedham
369,0.6598,2007,FALSE,193.83,Dedham
33H,0.4457,2007,TRUE,510.51,Dedham
342,0.9702,2007,FALSE,249.47,Dedham
33W,0.7836,2007,FALSE,75.6,Dedham
33J,0.9723,2007,FALSE,225.94,Dedham
ATP,1,2007,FALSE,439.24,Dedham
