bridgeId,healthIndex,overFeature,underFeature,year,structDef,deckArea,nhs,town
26K,0.9642,ST119 /ST2 A,WATER NASHOBA BROOK,2007,FALSE,117.92,FALSE,Acton
240,1,HWY  CONCORD RD,WATER NASHOBA BROOK,2007,FALSE,65.88,FALSE,Acton
258,0.9801,HWY  RIVER ST,WATER FORT POND BROOK,2007,FALSE,115.52,FALSE,Acton
259,0.6726,HWY  RIVER ST,WATER FORT POND BROOK,2007,FALSE,96.8,FALSE,Acton
25A,0.6158,HWY  STOW ST,WATER FORT POND BROOK,2007,FALSE,75.53,FALSE,Acton
25B,0.6856,HWY  MARTIN ST,WATER FORT POND BROOK,2007,FALSE,49.45514269,FALSE,Acton
28J,0.8136,ST111 NB/MASS AVE,ST  2 EB,2007,FALSE,195.91,FALSE,Acton
295,0.5824,HWY  ARLINGTON ST,ST  2,2007,FALSE,453.53,FALSE,Acton
294,0.5435,HWY  HAYWARD RD,ST  2,2007,FALSE,637.07,FALSE,Acton
287,0.6701,ST 27 MAIN ST,ST  2,2007,FALSE,519.37,FALSE,Acton
28R,0.7318,ST 62 PWDR MILL RD,WATER ASSABET RIVER,2007,FALSE,355.5,FALSE,Acton
29A,0.9982,ST 27 MAIN ST,RR  MBTA/BMRR,2007,FALSE,370.88,TRUE,Acton
28K,0.7774,ST111 MASS AVE,WATER FORT POND BROOK,2007,FALSE,73.7,FALSE,Acton
23X,0.8986,HWY  LAWSBROOK RD,WATER FORT POND BROOK,2007,FALSE,68.73,FALSE,Acton
255,0.9068,HWY  RIVER ST,WATER FORT POND BROOK,2007,FALSE,120.08,FALSE,Acton
23Y,0.7642,HWY  BROOK ST,WATER NASHOBA BROOK,2007,FALSE,86.11,FALSE,Acton
256,0.5952,HWY  PARKER ST,WATER FORT POND BROOK,2007,FALSE,77.42,FALSE,Acton
257,0.9983,HWY  WETHERBEE ST,WATER NASHOBA BROOK,2007,FALSE,143.08,FALSE,Acton
286,0.9072,ST 27 MAIN ST,WATER FORT POND BROOK,2007,FALSE,101.84,TRUE,Acton
2ML,0.840299795,HWY  PARK AVE,COMB  MINUTMN BP & BROOK,2007,FALSE,157.3,FALSE,Arlington
2MM,0.8153,HWY  LOWELL ST,OTHER MINUTMN BP & BROOK,2007,FALSE,198.9,FALSE,Arlington
4D3,0.9762,HWY  RIVER ST,WATER MYSTIC RIVER,2007,FALSE,334.89,FALSE,Arlington
4D2,0.8016,ST 60 MEDFORD ST,WATER MYSTIC RIVER,2007,FALSE,372.4,FALSE,Arlington
AE2,1,ST  2,COMB  MNUTMN BP & RED LN,2007,FALSE,1006.7696,TRUE,Arlington
2DN,0.7345,ST 60 PLEASANT ST,ST  2,2007,FALSE,1655.55,FALSE,Arlington
9WP,0.7239,HWY  HENDERSON ST,WATER ALEWIFE BROOK,2007,FALSE,87.36,FALSE,Arlington
4D1,0.5027,HWY  MYST VAL PKY,WATER ALEWIFE BROOK,2007,TRUE,207.4,FALSE,Arlington
2LK,0.7604,HWY  PARK AVE,ST  2,2007,FALSE,1261.26,FALSE,Arlington
2DM,0.6467,ST  2,HWY  LAKE ST,2007,FALSE,2250.29,TRUE,Arlington
2DP,0.7211,ST  2,HWY  DOW AVE,2007,FALSE,1118.74,TRUE,Arlington
2DQ,0.6668,ST  2 EB RAMP,WATER ALEWIFE BROOK,2007,FALSE,201.3,TRUE,Arlington
28A,0.9692,ST135 UNION ST,WATER SUDBURY RIVER,2007,FALSE,408.8,FALSE,Ashland
289,0.6277,ST135 UNION ST,WATER SUDBURY RIVER,2007,TRUE,170.8,FALSE,Ashland
241,0.8896,HWY  FRONT ST,WATER SUDBURY RIVER,2007,FALSE,122.5,FALSE,Ashland
25H,0.6325,HWY  CONCORD ST,WATER SUDBURY RIVER,2007,FALSE,120.32,FALSE,Ashland
