TOWN,NORMALIZEDSTART,PSI,ROUTETO,ROUTEFROM,ROUTEKEY,FEDERALAIDROUTENUMBER,ROUTEDIRECTION
NEEDHAM,23.8875,2.88707553,35.5558,35.5477,I95 NB,I-95,NB
NEEDHAM,20.775,2.46244,57.5812,57.5466,I95 SB,I-95,SB
NEEDHAM,23.7822,3.4722241,54.574,54.3755,I95 SB,I-95,SB
NEWTON,,,,,R50115,I-95,
NEWTON,26.5451,4.5,38.31,38.2053,I95 NB,I-95,NB
NEWTON,26.2263,4.5,52.1299,52.0482,I95 SB,I-95,SB
NEWTON,26.6162,4.31272265,51.74,51.7012,I95 SB,I-95,SB
NEWTON,12.7548,3.62012718,13.4879,12.7548,I90 WB,I-90,WB
NORWOOD,11.2004,4.11762679,67.1558,66.8754,I95 SB,I-95,SB
QUINCY,4.3391,4.5,41.5582,40.6807,I93 SB,I-93,SB
QUINCY,4.0584,2.062082,41.8389,41.82,I93 SB,I-93,SB
RANDOLPH,3.118,3.96559901,3.8199,3.118,I93 NB,I-93,NB
RANDOLPH,2.9515,4.5,42.9458,42.3282,I93 SB,I-93,SB
READING,43.8496,3.614185,55.526,55.5098,I95 NB,I-95,NB
READING,0,,0.401,0,R12174,I-95,
READING,44.6822,2.37901,56.365,56.3424,I95 NB,I-95,NB
READING,28.1097,3.307928,17.7876,17.7524,I93 SB,I-93,SB
READING,44.057,3.69288766,34.2992,34,I95 SB,I-95,SB
SOMERVILLE,19.7566,2.325884,20.1188,19.7566,I93 NB,I-93,NB
SOMERVILLE,18.6873,2.308062,27.21,26.881,I93 SB,I-93,SB
SOMERVILLE,20.0753,2.11496,25.822,25.7936,I93 SB,I-93,SB
SOMERVILLE,19.408,2.50378394,26.4893,26.2847,I93 SB,I-93,SB
STONEHAM,0.3589,,0.5532,0.3589,R12173,I-95,
STONEHAM,28.1079,4.5,28.2702,28.1079,I93 NB,I-93,NB
STONEHAM,27.9275,4.5,28.1079,27.9275,I93 NB,I-93,NB
STONEHAM,25.9337,4.5,19.9636,19.9,I93 SB,I-93,SB
FOXBOROUGH,1.6118,2.85609094,16.3253,13.272,I95 NB,I-95,NB
FOXBOROUGH,0.0307,4.10679329,87.6366,87.3295,I495 SB,I495,SB
FRANKLIN,10.0231,2.95742596,43.4939,42.9017,I495 NB,I495,NB
HOPKINTON,21.2661,4.29844216,54.5298,54.1447,I495 NB,I495,NB
