town,year,tot_inj,tot_fat,mot_inj,mot_fat,trk_inj,trk_fat,mot_tot,truck_tot,
Acton,2005,131,0,127,0,4,0,,,
Arlington,2005,127,0,122,0,1,0,,,
Ashland,2005,84,1,84,0,1,0,,,
Bedford,2005,84,0,84,0,11,0,,,
Bellingham,2005,162,1,160,1,1,0,,,
Belmont,2005,107,1,96,1,3,0,,,
Beverly,2005,254,1,242,1,5,0,,,
Bolton,2005,66,0,66,0,13,0,,,
Boston,2005,3882,18,3845,11,133,0,,,
Boxborough,2005,20,0,20,0,7,0,,,
Braintree,2005,558,0,549,0,28,0,,,
Brookline,2005,362,1,319,0,29,0,,,
Burlington,2005,262,0,260,0,7,0,,,
Cambridge,2005,711,4,576,1,28,0,,,
Canton,2005,242,0,239,0,12,0,,,
Carlisle,2005,18,0,18,0,1,0,,,
Chelsea,2005,342,3,301,3,13,0,,,
Cohasset,2005,44,0,44,0,2,0,,,
Concord,2005,136,0,130,0,6,0,,,
Danvers,2005,430,0,423,0,19,0,,,
Dedham,2005,199,0,198,0,16,0,,,
Dover,2005,43,0,41,0,2,0,,,
Duxbury,2005,103,0,102,0,0,0,,,
Essex,2005,30,0,29,0,2,0,,,
Everett,2005,419,0,399,0,10,0,,,
Foxborough,2005,174,2,170,2,10,0,,,
Framingham,2005,887,6,861,4,23,1,,,
Franklin,2005,161,1,161,0,13,1,,,
Gloucester,2005,111,2,108,1,4,0,,,
Hamilton,2005,23,0,23,0,0,0,,,
Hanover,2005,135,2,134,2,3,0,,,
Hingham,2005,169,2,163,2,2,0,,,
Holbrook,2005,104,0,103,0,0,0,,,
Holliston,2005,89,1,86,1,4,0,,,
Hopkinton,2005,178,2,176,2,19,0,,,
Hudson,2005,131,2,130,2,2,0,,,
Hull,2005,29,0,28,0,0,0,,,
Ipswich,2005,49,0,48,0,3,0,,,
Lexington,2005,297,0,278,0,20,0,,,
Lincoln,2005,55,0,54,0,2,0,,,
Littleton,2005,80,1,77,1,2,0,,,
Lynn,2005,1137,4,1065,2,18,0,,,
Lynnfield,2005,92,0,92,0,2,0,,,
Malden,2005,383,2,366,1,9,0,,,
Manchester,2005,21,0,20,0,2,0,,,
Marblehead,2005,40,0,40,0,1,0,,,
Marlborough,2005,379,1,374,0,12,0,,,
Marshfield,2005,153,4,152,3,7,0,,,
Maynard,2005,30,0,30,0,0,0,,,
Medfield,2005,51,0,50,0,0,0,,,
Medford,2005,476,4,454,3,24,0,,,
Medway,2005,74,1,74,1,5,0,,,
Melrose,2005,133,1,126,1,8,0,,,
Middleton,2005,55,0,55,0,4,0,,,
Milford,2005,145,1,145,1,7,0,,,
Millis,2005,45,1,45,1,2,0,,,
Milton,2005,353,4,348,4,19,2,,,
Nahant,2005,2,0,2,0,0,0,,,
Natick,2005,249,5,244,5,6,0,,,
Needham,2005,162,0,157,0,15,0,,,
Newton,2005,712,1,672,1,24,0,,,
Norfolk,2005,34,0,34,0,0,0,,,
North Reading,2005,67,0,64,0,3,0,,,
Norwell,2005,121,3,121,3,1,0,,,
Norwood,2005,278,0,267,0,11,0,,,
Peabody,2005,525,3,510,2,19,0,,,
Pembroke,2005,156,0,153,0,7,0,,,
Quincy,2005,896,4,849,3,30,0,,,
Randolph,2005,291,3,286,3,10,0,,,
Reading,2005,181,0,177,0,4,0,,,
Revere,2005,471,5,462,4,14,0,,,
Rockland,2005,169,1,165,1,6,0,,,
Rockport,2005,13,0,12,0,1,0,,,
Salem,2005,464,1,440,1,4,0,,,
Saugus,2005,482,2,473,0,14,0,,,
Scituate,2005,39,0,37,0,0,0,,,
Sharon,2005,148,1,145,1,4,0,,,
Sherborn,2005,64,0,63,0,2,0,,,
Somerville,2005,535,2,474,0,17,0,,,
Southborough,2005,108,2,107,2,11,0,,,
Stoneham,2005,224,2,216,2,17,0,,,
Stoughton,2005,285,5,277,5,13,1,,,
Stow,2005,35,0,35,0,0,0,,,
Sudbury,2005,118,0,113,0,2,0,,,
Swampscott,2005,131,0,128,0,1,0,,,
Topsfield,2005,74,1,72,1,4,1,,,
Wakefield,2005,184,1,178,0,6,0,,,
Walpole,2005,195,0,194,0,7,0,,,
Waltham,2005,433,0,406,0,15,0,,,
Watertown,2005,247,0,235,0,7,0,,,
Wayland,2005,84,0,83,0,7,0,,,
Wellesley,2005,230,0,221,0,12,0,,,
Wenham,2005,44,1,44,0,1,0,,,
Weston,2005,191,4,190,3,14,0,,,
Westwood,2005,184,0,180,0,17,0,,,
Weymouth,2005,509,3,489,1,13,0,,,
Wilmington,2005,242,1,237,1,10,1,,,
Winchester,2005,83,1,78,1,1,0,,,
Winthrop,2005,46,0,42,0,0,0,,,
Woburn,2005,513,5,500,5,22,0,,,
Wrentham,2005,149,0,148,0,8,0,,,
Total,2005,25423,131,24490,97,964,7,,,
Acton,2006,121,0,119,0,7,0,,,
Arlington,2006,153,0,140,0,7,0,,,
Ashland,2006,67,0,66,0,4,0,,,
Bedford,2006,103,2,99,2,5,2,,,
Bellingham,2006,166,1,165,1,16,0,,,
Belmont,2006,132,0,120,0,1,0,,,
Beverly,2006,255,0,239,0,4,0,,,
Bolton,2006,75,1,74,1,7,0,,,
Boston,2006,4004,24,3972,16,122,0,,,
Boxborough,2006,21,0,21,0,0,0,,,
Braintree,2006,490,1,485,1,16,0,,,
Brookline,2006,321,1,294,0,2,0,,,
Burlington,2006,327,2,324,2,20,0,,,
Cambridge,2006,686,2,565,1,24,0,,,
Canton,2006,230,1,224,1,16,0,,,
Carlisle,2006,17,0,17,0,1,0,,,
Chelsea,2006,359,2,318,2,17,0,,,
Cohasset,2006,36,0,33,0,2,0,,,
Concord,2006,127,1,125,1,16,1,,,
Danvers,2006,399,2,392,1,11,0,,,
Dedham,2006,267,0,265,0,10,0,,,
Dover,2006,33,2,31,2,1,0,,,
Duxbury,2006,47,1,45,1,0,1,,,
Essex,2006,28,0,28,0,1,0,,,
Everett,2006,334,2,323,2,12,0,,,
Foxborough,2006,134,2,132,1,9,1,,,
Framingham,2006,753,1,716,1,13,0,,,
Franklin,2006,151,1,150,1,7,0,,,
Gloucester,2006,78,0,71,0,3,0,,,
Hamilton,2006,18,0,18,0,0,0,,,
Hanover,2006,126,0,125,0,1,0,,,
Hingham,2006,207,2,204,2,6,0,,,
Holbrook,2006,93,1,88,1,1,0,,,
Holliston,2006,82,1,81,1,1,0,,,
Hopkinton,2006,137,3,137,2,7,0,,,
Hudson,2006,141,0,139,0,3,0,,,
Hull,2006,29,0,27,0,1,0,,,
Ipswich,2006,47,0,46,0,1,0,,,
Lexington,2006,293,4,269,2,9,0,,,
Lincoln,2006,49,0,49,0,3,0,,,
Littleton,2006,85,1,85,1,1,0,,,
Lynn,2006,1079,4,993,3,28,1,,,
Lynnfield,2006,124,0,121,0,4,0,,,
Malden,2006,453,0,401,0,4,0,,,
Manchester,2006,17,0,17,0,0,0,,,
Marblehead,2006,40,0,35,0,1,0,,,
Marlborough,2006,350,1,343,1,17,0,,,
Marshfield,2006,149,1,145,0,6,0,,,
Maynard,2006,23,0,23,0,2,0,,,
Medfield,2006,56,1,54,0,2,0,,,
Medford,2006,504,1,485,0,14,0,,,
Medway,2006,59,1,59,0,1,0,,,
Melrose,2006,105,0,101,0,4,0,,,
Middleton,2006,75,0,75,0,9,0,,,
Milford,2006,121,1,119,0,3,0,,,
Millis,2006,31,0,30,0,0,0,,,
Milton,2006,319,4,318,4,15,0,,,
Nahant,2006,4,0,4,0,0,0,,,
Natick,2006,258,1,246,0,8,0,,,
Needham,2006,206,2,200,2,12,0,,,
Newton,2006,698,3,659,1,34,0,,,
Norfolk,2006,28,1,28,0,1,0,,,
North Reading,2006,98,1,95,1,1,0,,,
Norwell,2006,112,0,110,0,2,0,,,
Norwood,2006,232,0,219,0,9,0,,,
Peabody,2006,438,3,428,3,17,0,,,
Pembroke,2006,157,0,153,0,17,0,,,
Quincy,2006,780,8,735,4,11,0,,,
Randolph,2006,330,4,318,2,3,0,,,
Reading,2006,130,0,125,0,20,0,,,
Revere,2006,593,4,586,2,7,0,,,
Rockland,2006,177,1,169,1,0,0,,,
Rockport,2006,26,0,26,0,18,0,,,
Salem,2006,439,2,409,0,15,0,,,
Saugus,2006,388,3,374,3,2,0,,,
Scituate,2006,45,1,44,1,4,1,,,
Sharon,2006,109,5,104,5,2,0,,,
Sherborn,2006,46,0,45,0,17,0,,,
Somerville,2006,520,1,464,0,5,0,,,
Southborough,2006,91,0,91,0,12,0,,,
Stoneham,2006,194,0,192,0,1,0,,,
Stoughton,2006,338,1,317,1,21,0,,,
Stow,2006,26,0,25,0,4,0,,,
Sudbury,2006,101,1,96,1,0,0,,,
Swampscott,2006,128,0,126,0,10,0,,,
Topsfield,2006,37,0,35,0,0,0,,,
Wakefield,2006,187,4,176,3,7,1,,,
Walpole,2006,170,2,166,2,7,0,,,
Waltham,2006,444,2,399,2,14,0,,,
Watertown,2006,169,4,148,4,6,0,,,
Wayland,2006,65,1,65,0,9,0,,,
Wellesley,2006,197,0,186,0,9,0,,,
Wenham,2006,26,0,25,0,2,0,,,
Weston,2006,220,1,218,1,14,0,,,
Westwood,2006,164,0,162,0,5,0,,,
Weymouth,2006,458,0,449,0,11,0,,,
Wilmington,2006,218,3,215,3,10,0,,,
Winchester,2006,84,2,82,2,2,0,,,
Winthrop,2006,52,1,48,1,0,0,,,
Woburn,2006,531,2,515,2,35,1,,,
Wrentham,2006,128,6,127,4,4,1,,,
Total,2006,24568,145,23544,105,886,10,,,
Acton,2007,85,1,85,1,5,0,,,
Arlington,2007,99,2,88,2,2,0,,,
Ashland,2007,67,1,64,1,3,1,,,
Bedford,2007,91,2,90,1,4,0,,,
Bellingham,2007,145,3,145,2,15,0,,,
Belmont,2007,107,1,96,0,5,0,,,
Beverly,2007,243,1,229,1,6,0,,,
Bolton,2007,76,1,76,1,1,0,,,
Boston,2007,3118,31,3055,18,115,1,,,
Boxborough,2007,17,1,17,1,0,1,,,
Braintree,2007,454,2,452,2,21,1,,,
Brookline,2007,273,0,237,0,11,0,,,
Burlington,2007,269,2,267,1,12,0,,,
Cambridge,2007,581,2,464,2,7,0,,,
Canton,2007,208,2,197,1,17,0,,,
Carlisle,2007,10,0,9,0,0,0,,,
Chelsea,2007,357,2,301,2,23,0,,,
Cohasset,2007,40,0,40,0,6,0,,,
Concord,2007,136,0,129,0,3,0,,,
Danvers,2007,347,2,335,2,14,0,,,
Dedham,2007,229,1,227,0,14,0,,,
Dover,2007,16,2,14,2,0,0,,,
Duxbury,2007,93,1,92,1,2,0,,,
Essex,2007,19,0,18,0,0,0,,,
Everett,2007,299,0,279,0,10,0,,,
Foxborough,2007,146,3,144,3,11,0,,,
Framingham,2007,669,2,636,2,15,0,,,
Franklin,2007,163,2,162,2,11,0,,,
Gloucester,2007,74,0,72,0,2,0,,,
Hamilton,2007,18,0,17,0,0,0,,,
Hanover,2007,140,1,138,1,0,0,,,
Hingham,2007,198,1,191,1,5,0,,,
Holbrook,2007,70,1,66,1,4,1,,,
Holliston,2007,100,0,96,0,3,0,,,
Hopkinton,2007,152,0,151,0,17,0,,,
Hudson,2007,133,1,131,0,1,0,,,
Hull,2007,30,0,27,0,2,0,,,
Ipswich,2007,39,0,36,0,0,0,,,
Lexington,2007,300,4,278,2,11,0,,,
Lincoln,2007,45,0,45,0,0,0,,,
Littleton,2007,67,0,67,0,12,0,,,
Lynn,2007,959,3,874,3,19,0,,,
Lynnfield,2007,101,1,95,1,6,0,,,
Malden,2007,413,2,369,0,16,0,,,
Manchester,2007,16,0,16,0,1,0,,,
Marblehead,2007,27,0,24,0,0,0,,,
Marlborough,2007,319,3,315,2,11,1,,,
Marshfield,2007,117,2,114,2,3,0,,,
