TOWN_ID,TOWN,FREQUENCY,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,CITY_AVG,CITY_TOTAL
2,ACTON,168,0.995420981,8.426539077,22.43597171,8.491730479,0.508337256,3.206856439,40.8579995
10,ARLINGTON,226,5.653324927,3.638023018,6.206424507,16.90635768,0.704530992,3.307619716,33.10866112
14,ASHLAND,55,1.94823445,3.074832594,3.520822927,1.090929038,0,2.678652639,9.634819009
23,BEDFORD,7,0,2.472056114,10.5820138,1.57326669,0,3.166910781,14.6273366
25,BELLINGHAM,160,3.188223808,10.84883892,8.11331418,2.906371637,0.658078716,2.763328036,25.71482726
26,BELMONT,125,1.839277589,4.158445158,4.222122657,6.80256698,1.152293249,3.226910451,18.17470563
30,BEVERLY,150,5.751565331,19.17661891,5.455457743,0,0.730075144,2.392714155,31.11371713
34,BOLTON,7,0,0.158851477,0.328595481,0,0,2.954469215,0.487446958
35,BOSTON,3019,106.302098,154.6234022,81.49091571,21.99998949,110.5843303,2.378414954,475.0007357
37,BOXBOROUGH,4,0.142346866,0.545485555,0,0,0,2.260270109,0.687832421
40,BRAINTREE,253,1.823250616,15.80064991,21.4791419,6.335065793,10.40894399,3.014467975,55.84705221
46,BROOKLINE,257,5.127842877,13.09412603,9.170917521,0.215329524,7.197075251,2.502536979,34.8052912
48,BURLINGTON,82,2.576659326,3.737389889,7.337207217,5.265980337,2.343899146,3.065253256,21.26113592
49,CAMBRIDGE,691,29.54421212,32.39141241,9.005876345,2.273559856,11.90850774,2.111656863,85.12356847
50,CANTON,162,1.146107134,5.911240619,11.88920991,9.010307146,1.832584544,3.295666521,29.78944935
57,CHELSEA,97,3.760047616,11.3071396,5.537811363,0.904556747,0.765006071,2.531234695,22.2745614
65,COHASSET,27,0,0.977045264,3.136818563,2.44918923,0,3.471173846,6.563053057
67,CONCORD,147,2.644899714,10.32834413,10.60124541,10.8762094,0.093698646,3.163846582,34.5443973
71,DANVERS,195,5.009759962,15.37041962,11.52553339,8.32215019,1.952795084,2.899243293,42.18065825
73,DEDHAM,214,2.630593647,4.149277014,9.51669747,6.913031383,11.89604185,3.143691447,35.10564136
78,DOVER,8,0,0,0.079281254,1.22783483,0,4.183281075,1.307116084
82,DUXBURY,84,0.562707534,3.409062797,16.2774928,19.35579572,0,3.607530504,39.60505885
92,ESSEX,2,0,0,0,0.70775235,0,4.25,0.70775235
93,EVERETT,162,6.216989044,3.506916832,7.667072628,1.406484007,0.451743818,2.458896306,19.24920633
99,FOXBOROUGH,65,1.194395694,4.488036188,3.889501635,5.426403961,1.755450334,3.209168642,16.75378781
100,FRAMINGHAM,268,6.406853612,9.625393718,11.45103468,11.23326195,9.537989712,2.989026042,48.25453367
101,FRANKLIN,99,3.542162764,4.730394028,4.975696022,1.604979701,1.463751067,2.60082094,16.31698358
107,GLOUCESTER,168,3.931151063,3.825481285,3.844868211,19.01199198,0.543158784,3.50133529,31.15665132
119,HAMILTON,26,0.189039685,0.34790055,1.836862113,0.710114769,0.031605001,3.21300641,3.115522118
122,HANOVER,81,4.093110352,4.603561271,6.283817351,3.209514358,0.792547826,2.742199543,18.98255116
131,HINGHAM,53,2.359935697,7.147260384,10.84445321,0.646596357,0.12913035,2.754873104,21.127376
133,HOLBROOK,80,2.823298616,2.441699958,5.1311184,2.365884444,0,2.796674203,12.76200142
136,HOLLISTON,80,0.969199501,5.664640001,6.782810736,2.281625296,0,2.969891352,15.69827553
139,HOPKINTON,44,2.514790672,3.517514708,1.7925765,0,0,2.237514639,7.82488188
141,HUDSON,81,3.470586663,3.749099609,3.598209415,2.234133045,0.391601062,2.634134851,13.44362979
144,IPSWICH,65,1.817128085,5.253071237,1.427933291,0.593860815,0.050802421,2.475466735,9.142795849
155,LEXINGTON,249,4.55566145,10.79850011,9.507853422,23.32277582,6.781385608,3.358875669,54.96617641
157,LINCOLN,82,4.046781202,0.899907923,8.397368728,9.283255212,3.373210168,3.219741978,26.00052323
158,LITTLETON,120,2.317086132,8.602903196,9.554352281,10.17307986,3.337743209,3.195500522,33.98516468
163,LYNN,368,11.29753472,15.97985017,7.295227167,4.828972939,2.650175258,2.468019584,42.05176025
164,LYNNFIELD,33,2.22153718,1.420603038,3.574935551,0.716638483,0.648172505,2.581901162,8.581886757
165,MALDEN,210,10.37065998,6.963203822,4.237481198,0,1.506364849,1.994798864,23.07770985
166,MANCHESTER,18,0,0,0.603608392,13.57802626,0,4.203181051,14.18163465
168,MARBLEHEAD,135,2.525396099,3.081898542,5.205815262,1.158781959,0.185621375,2.680126798,12.15751324
170,MARLBOROUGH,162,9.853734456,9.147019167,4.32636565,2.629254299,3.509738748,2.29073125,29.46611232
171,MARSHFIELD,97,0.368278814,2.270557675,10.85524704,11.33272704,0,3.567577098,24.82681057
174,MAYNARD,121,3.987420119,4.702576991,3.43405562,0.430042025,0,2.32769139,12.55409476
175,MEDFIELD,88,2.580503753,2.560932646,8.391832038,3.741194064,0,3.000516123,17.2744625
176,MEDFORD,286,7.581886362,9.353707412,11.75817708,1.763398644,5.922521864,2.531549272,36.37969136
177,MEDWAY,79,3.27981894,2.595333714,7.258936981,3.531773531,0,2.896074525,16.66586317
178,MELROSE,77,0,2.661472765,5.098802169,1.087052004,0,3.104661283,8.847326938
184,MIDDLETON,40,2.349860125,2.98633416,4.597523798,0.400819796,0,2.564524477,10.33453788
