TOWN_ID,TOWN,existing_miles,constructing_miles,projected_miles,total,existing_percent,constructing_percent,projected_percent
2,ACTON,0.961187407,5.328399998,1.173485424,7.463072829,0.128792446,0.713968645,0.157238908
10,ARLINGTON,5.944695175,0,0.028741816,5.973436991,0.995188396,0,0.004811604
14,ASHLAND,0.739838988,0,6.083508934,6.823347922,0.108427563,0,0.891572437
23,BEDFORD,6.236397764,0.321754179,1.955169956,8.513321899,0.732545749,0.037794199,0.229660053
25,BELLINGHAM,4.584580758,0,2.394624342,6.9792051,0.656891536,0,0.343108464
26,BELMONT,0.451705049,0,2.501392192,2.953097241,0.152959761,0,0.847040239
30,BEVERLY,2.780347358,0,0.622768391,3.403115749,0.817000526,0,0.182999474
34,BOLTON,0,0,0.526943393,0.526943393,0,0,1
35,BOSTON,86.40435824,1.19289651,40.36963822,127.966893,0.675208691,0.009321915,0.315469394
37,BOXBOROUGH,0,0,0,0,0,0,0
40,BRAINTREE,3.554156591,0,2.107397446,5.661554037,0.627770497,0,0.372229503
46,BROOKLINE,2.477093844,0.15689676,0.027186326,2.66117693,0.930826439,0.058957658,0.010215903
48,BURLINGTON,1.547077713,0,0.131413536,1.678491249,0.921707345,0,0.078292655
49,CAMBRIDGE,17.94176155,0.371863892,5.477614962,23.7912404,0.754133086,0.015630286,0.230236628
50,CANTON,0,0,0,0,0,0,0
51,CARLISLE,0,0.1531405,0,0.1531405,0,1,0
57,CHELSEA,0.875837902,0.678308186,0.201548095,1.755694183,0.498855615,0.386347573,0.114796812
65,COHASSET,4.137996542,0,0,4.137996542,1,0,0
67,CONCORD,9.284111941,0,1.105040852,10.38915279,0.893635133,0,0.106364867
71,DANVERS,6.214092703,0,2.789299226,9.003391929,0.690194624,0,0.309805376
73,DEDHAM,1.949126658,0.003007012,1.951747315,3.903880985,0.499279221,0.000770262,0.499950517
78,DOVER,0.145125839,0,3.69417668,3.839302519,0.037800053,0,0.962199947
82,DUXBURY,0,0,0.032750974,0.032750974,0,0,1
92,ESSEX,0.638429376,0,1.035963034,1.67439241,0.381290176,0,0.618709824
93,EVERETT,2.017356012,0,3.158090452,5.175446464,0.38979362,0,0.61020638
99,FOXBOROUGH,0.746008084,0,4.037881724,4.783889808,0.155941737,0,0.844058263
100,FRAMINGHAM,13.80084987,0.718697227,10.03501727,24.55456437,0.562048247,0.029269394,0.408682358
101,FRANKLIN,1.422542385,0,2.85202008,4.274562465,0.332792513,0,0.667207487
107,GLOUCESTER,1.448951096,0,0.142598936,1.591550032,0.91040248,0,0.08959752
119,HAMILTON,0.889946325,0,1.264734519,2.154680844,0.413029302,0,0.586970698
122,HANOVER,0.185829795,0,3.884355133,4.070184928,0.045656352,0,0.954343648
131,HINGHAM,13.53028674,0,0.632259411,14.16254615,0.955356939,0,0.044643061
133,HOLBROOK,0,0,0,0,0,0,0
136,HOLLISTON,10.25621266,0,0,10.25621266,1,0,0
139,HOPKINTON,2.43912319,0,4.303176153,6.742299343,0.361764298,0,0.638235702
141,HUDSON,4.90702673,0,6.145834468,11.0528612,0.443959862,0,0.556040138
142,HULL,0.084333702,0,1.538598406,1.622932108,0.051963789,0,0.948036211
144,IPSWICH,0,0,0,0,0,0,0
155,LEXINGTON,10.34145291,0,0,10.34145291,1,0,0
157,LINCOLN,2.675062428,0,0,2.675062428,1,0,0
158,LITTLETON,0,0,0,0,0,0,0
163,LYNN,3.065199491,0,1.263561803,4.328761294,0.708100836,0,0.291899164
164,LYNNFIELD,1.189092753,0,2.534851529,3.723944282,0.319310028,0,0.680689972
165,MALDEN,4.405691367,0,0.735594686,5.141286053,0.856923992,0,0.143076008
166,MANCHESTER,0,0,0,0,0,0,0
168,MARBLEHEAD,3.472271579,0,0.137503151,3.60977473,0.961908107,0,0.038091893
170,MARLBOROUGH,4.160622637,0,3.544802341,7.705424978,0.539960177,0,0.460039823
171,MARSHFIELD,5.055532975,0,0.496852333,5.552385308,0.910515516,0,0.089484484
174,MAYNARD,4.616337323,1.384679464,0.006464689,6.007481476,0.768431387,0.230492507,0.001076106
