TOWN_ID,TOWN,existing_miles,constructing_miles,projected_miles,existing_percent,constructing_percent,projected_percent,total
2,ACTON,0,0,0.578978726,0,0,1,0.578978726
10,ARLINGTON,5.397629326,0,0.028741816,0.994703308,0,0.005296692,5.426371142
14,ASHLAND,0.739838988,0,2.586559642,0.22241441,0,0.77758559,3.32639863
23,BEDFORD,3.292645362,0,0,1,0,0,3.292645362
25,BELLINGHAM,4.374393072,0,0,1,0,0,4.374393072
26,BELMONT,0.525901786,0,2.501790817,0.173697219,0,0.826302781,3.027692603
30,BEVERLY,1.296908194,0.179812058,0.563923456,0.635538771,0.088115361,0.276345868,2.040643708
34,BOLTON,0,0,0.022235303,0,0,1,0.022235303
35,BOSTON,74.41891869,0,43.12220576,0.633130907,0,0.366869093,117.5411245
37,BOXBOROUGH,0,0,0,0,0,#DIV/0!,0
40,BRAINTREE,0.667609882,0,0.599222093,0.526991657,0,0.473008343,1.266831975
46,BROOKLINE,2.663170768,0,0,1,0,0,2.663170768
48,BURLINGTON,1.547077729,0,0.131413536,0.921707346,0,0.078292654,1.678491265
49,CAMBRIDGE,17.27315824,0.156909256,6.158812029,0.73225853,0.006651832,0.261089639,23.58887953
50,CANTON,0,0,0,0,0,#DIV/0!,0
51,CARLISLE,0,0,0,0,0,#DIV/0!,0
57,CHELSEA,0.875837805,0.678308186,0.253133598,0.484616664,0.375320006,0.14006333,1.807279589
65,COHASSET,1.200419996,0,0,1,0,0,1.200419996
67,CONCORD,6.774798015,2.382162035,1.454178573,0.638460985,0.224496364,0.137042652,10.61113862
71,DANVERS,4.011981443,0,0.655430779,0.859572982,0,0.140427018,4.667412222
73,DEDHAM,1.930223907,0,2.620361627,0.424170449,0,0.575829551,4.550585534
78,DOVER,0.14434564,0,3.983590402,0.034967993,0,0.965032007,4.127936042
82,DUXBURY,0,0,0,0,0,#DIV/0!,0
92,ESSEX,0,0,0.658159894,0,0,1,0.658159894
93,EVERETT,2.56447191,0,3.17198351,0.447048172,0,0.552951828,5.73645542
99,FOXBOROUGH,0,0,0,0,0,#DIV/0!,0
100,FRAMINGHAM,10.87039293,0,1.764858494,0.860322645,0,0.139677355,12.63525142
101,FRANKLIN,0,0,0,0,0,#DIV/0!,0
107,GLOUCESTER,1.124955773,0,0,1,0,0,1.124955773
119,HAMILTON,0.538220911,0,0.256117994,0.67757088,0,0.32242912,0.794338905
122,HANOVER,0.726470106,0,1.983106455,0.268112042,0,0.731887958,2.709576561
131,HINGHAM,5.202110708,0,0.451098318,0.920204911,0,0.079795089,5.653209026
133,HOLBROOK,0,0,0,0,0,#DIV/0!,0
136,HOLLISTON,11.166832,0,0,1,0,0,11.166832
139,HOPKINTON,2.439123133,0,3.127801373,0.438145538,0,0.561854462,5.566924506
141,HUDSON,5.135463795,0,2.562126236,0.667152157,0,0.332847843,7.697590031
142,HULL,0,0,0,0,0,#DIV/0!,0
144,IPSWICH,0,0,0,0,0,#DIV/0!,0
155,LEXINGTON,10.34694323,0,0,1,0,0,10.34694323
157,LINCOLN,0.606710551,0,0,1,0,0,0.606710551
158,LITTLETON,0,0,0,0,0,#DIV/0!,0
163,LYNN,4.301745025,0,1.284074598,0.770118857,0,0.229881143,5.585819623
164,LYNNFIELD,0,0,1.687603882,0,0,1,1.687603882
165,MALDEN,3.825257181,0,0.223644915,0.94476406,0,0.05523594,4.048902096
166,MANCHESTER,0,0,0,0,0,#DIV/0!,0
168,MARBLEHEAD,2.861371172,0,0.137503151,0.954148412,0,0.045851588,2.998874323
170,MARLBOROUGH,6.167088274,0,6.403469615,0.490597818,0,0.509402182,12.57055789
171,MARSHFIELD,4.773338311,0,0.526376374,0.900678356,0,0.099321644,5.299714685
174,MAYNARD,1.341294377,0,0,1,0,0,1.341294377
175,MEDFIELD,0,0,0,0,0,#DIV/0!,0
176,MEDFORD,9.09183849,0,1.396900686,0.866819008,0,0.133180992,10.48873918
177,MEDWAY,0,0,1.267143113,0,0,1,1.267143113
178,MELROSE,1.716595882,0,0,1,0,0,1.716595882
184,MIDDLETON,0,0,5.687772384,0,0,1,5.687772384
185,MILFORD,6.258350103,0,0.188173178,0.97081013,0,0.02918987,6.446523281
187,MILLIS,0,0,0,0,0,#DIV/0!,0
189,MILTON,4.978801285,0,2.213450951,0.692245088,0,0.307754912,7.192252236
196,NAHANT,0.646428923,0,0,1,0,0,0.646428923
198,NATICK,6.420086527,0,4.642229529,0.580356455,0,0.419643545,11.06231606
199,NEEDHAM,3.301593301,0,1.417465554,0.699629609,0,0.300370391,4.719058855
207,NEWTON,6.965678274,0,1.434878069,0.829192495,0,0.170807505,8.400556343
