TOWN_ID,TOWN,existing_miles,constructing_miles,projected_miles,total,existing_percent,constructing_percent,projected_percent
2,ACTON,0,0,9.847055679,9.847055679,0,0,1
10,ARLINGTON,6.646319123,0,3.102374522,9.748693645,0.681765103,0,0.318234897
14,ASHLAND,0,0,3.097148952,3.097148952,0,0,1
23,BEDFORD,0.841688106,0.05399806,5.774853622,6.670539788,0.126179909,0.008095006,0.865725085
26,BELMONT,2.920285777,0.369958623,4.268231478,7.558475878,0.386359079,0.048946194,0.564694728
30,BEVERLY,1.440749053,2.276633222,23.4568389,27.17422118,0.053018964,0.083779153,0.863201883
34,BOLTON,0.003798194,0,3.364227905,3.368026099,0.001127721,0,0.998872279
35,BOSTON,152.3368039,0.549046364,343.666669,496.5525193,0.306788905,0.001105717,0.692105378
40,BRAINTREE,0,0,6.454828834,6.454828834,0,0,1
46,BROOKLINE,8.280983332,0.142077425,15.70448913,24.12754989,0.343216919,0.005888597,0.650894484
48,BURLINGTON,5.305594241,0.11310181,3.077804716,8.496500767,0.624444626,0.013311575,0.362243799
49,CAMBRIDGE,34.94860315,0.524252888,8.036952407,43.50980845,0.80323505,0.012049074,0.184715877
50,CANTON,4.271125473,0,4.444238363,8.715363836,0.490068522,0,0.509931478
51,CARLISLE,0,0,2.370316544,2.370316544,0,0,1
57,CHELSEA,0.114204967,0.183457862,3.680865225,3.978528054,0.028705332,0.046111994,0.925182674
65,COHASSET,0.1128358,0,3.15340902,3.26624482,0.034546033,0,0.965453967
67,CONCORD,0,0,9.540136625,9.540136625,0,0,1
71,DANVERS,0,0.099136429,21.05765186,21.15678829,0,0.004685798,0.995314202
73,DEDHAM,2.128631442,0.493792758,15.77761057,18.40003477,0.115686273,0.026836512,0.857477215
78,DOVER,0,0,12.3282544,12.3282544,0,0,1
82,DUXBURY,0,0,5.640130648,5.640130648,0,0,1
92,ESSEX,0,0,4.324792245,4.324792245,0,0,1
93,EVERETT,0.843692111,0.466716268,1.987717535,3.298125914,0.255809552,0.141509536,0.602680912
100,FRAMINGHAM,1.551388661,0,4.158761051,5.710149712,0.271689665,0,0.728310335
101,FRANKLIN,0,0,6.750469042,6.750469042,0,0,1
107,GLOUCESTER,2.241211758,0,10.34135863,12.58257039,0.178120343,0,0.821879657
119,HAMILTON,0,0,1.399729501,1.399729501,0,0,1
131,HINGHAM,0.012042393,0,6.012916467,6.02495886,0.001998751,0,0.998001249
133,HOLBROOK,1.260679032,0,0.081118322,1.341797354,0.939545028,0,0.060454972
139,HOPKINTON,0,0,6.419482503,6.419482503,0,0,1
141,HUDSON,2.776388061,0,20.71673531,23.49312337,0.118178755,0,0.881821245
142,HULL,0,0,9.988282722,9.988282722,0,0,1
144,IPSWICH,0,0.614248057,8.212521871,8.826769928,0,0.069589223,0.930410777
155,LEXINGTON,4.288069743,0.019357644,0.608445061,4.915872448,0.872290685,0.003937784,0.123771531
158,LITTLETON,0,0,5.739877884,5.739877884,0,0,1
163,LYNN,0.179617066,0,0.316888299,0.496505365,0.361762588,0,0.638237412
164,LYNNFIELD,0,0,3.581530708,3.581530708,0,0,1
165,MALDEN,1.172495149,0.147564897,0.244155065,1.564215111,0.74957411,0.094337982,0.156087908
166,MANCHESTER,0,0,4.648994253,4.648994253,0,0,1
168,MARBLEHEAD,0,0,1.307290045,1.307290045,0,0,1
170,MARLBOROUGH,0,0,36.85301665,36.85301665,0,0,1
171,MARSHFIELD,0,0,7.337410418,7.337410418,0,0,1
174,MAYNARD,0.11005255,0,7.608411639,7.718464189,0.014258348,0,0.985741652
175,MEDFIELD,0,0,2.673416911,2.673416911,0,0,1
176,MEDFORD,4.636106242,0.59559622,2.25626874,7.487971202,0.619140501,0.079540399,0.3013191
177,MEDWAY,0,0,1.204654902,1.204654902,0,0,1
178,MELROSE,3.056801538,1.265331737,0,4.322133275,0.707243702,0.292756298,0
184,MIDDLETON,0,0,12.03078149,12.03078149,0,0,1
185,MILFORD,0.070006512,0,0.104793251,0.174799763,0.400495463,0,0.599504537
187,MILLIS,0,0,4.48082211,4.48082211,0,0,1
189,MILTON,17.08356667,0,13.69502389,30.77859056,0.555047075,0,0.444952925
198,NATICK,1.683661993,0,8.197146188,9.880808181,0.170397194,0,0.829602806
199,NEEDHAM,2.541683929,1.864358081,5.590732761,9.996774771,0.254250394,0.186495957,0.559253648
207,NEWTON,9.354887247,0.811635539,53.36487036,63.53139315,0.147248262,0.012775346,0.839976391
213,NORTH READING,0,0,0.007770256,0.007770256,0,0,1
220,NORWOOD,0,0,6.740574676,6.740574676,0,0,1
229,PEABODY,1.539829472,0,0.095259316,1.635088788,0.941740585,0,0.058259415
231,PEMBROKE,0,0,2.118558754,2.118558754,0,0,1
243,QUINCY,12.02524245,0.150284726,44.05032618,56.22585336,0.213873898,0.002672876,0.783453226
244,RANDOLPH,5.490258073,0,3.358530255,8.848788328,0.620453091,0,0.379546909
246,READING,1.893383602,1.364609131,22.47389691,25.73188964,0.073581211,0.053031827,0.873386962
248,REVERE,1.098418612,0,0,1.098418612,1,0,0
252,ROCKPORT,0,0,3.679079671,3.679079671,0,0,1
258,SALEM,6.96057579,0.159140282,5.195528018,12.31524409,0.565199986,0.012922219,0.421877795
262,SAUGUS,0.723202693,0.000907918,0.769117722,1.493228333,0.484321572,0.000608024,0.515070405
264,SCITUATE,0,0,5.062672105,5.062672105,0,0,1
266,SHARON,2.049459936,0,1.541079036,3.590538972,0.570794511,0,0.429205489
274,SOMERVILLE,22.96717182,0,9.912235386,32.87940721,0.698527552,0,0.301472448
277,SOUTHBOROUGH,0,0,2.905398819,2.905398819,0,0,1
284,STONEHAM,1.437259821,1.872114641,4.909120182,8.218494644,0.174881153,0.227792889,0.597325957
285,STOUGHTON,0,0,5.479858808,5.479858808,0,0,1
286,STOW,0,0,14.026669,14.026669,0,0,1
288,SUDBURY,0,0,5.389894438,5.389894438,0,0,1
291,SWAMPSCOTT,0.702398233,0,2.336547134,3.038945367,0.231132234,0,0.768867766
298,TOPSFIELD,0.312574767,0.345598036,7.90515323,8.563326033,0.036501561,0.040357921,0.923140518
305,WAKEFIELD,0.612330369,0,3.60447116,4.216801529,0.145212044,0,0.854787956
307,WALPOLE,0,0,3.399579838,3.399579838,0,0,1
308,WALTHAM,1.605238655,0.0565927,3.444030701,5.105862056,0.314391309,0.011083868,0.674524823
314,WATERTOWN,4.248446912,0,0.312963503,4.561410415,0.931388874,0,0.068611126
315,WAYLAND,0.168475191,0,2.434201275,2.602676466,0.064731515,0,0.935268485
317,WELLESLEY,0,0,4.232089952,4.232089952,0,0,1
320,WENHAM,0,0,2.994958429,2.994958429,0,0,1
333,WESTON,0.226733921,0.833081222,3.499039506,4.558854649,0.049734843,0.18273915,0.767526007
335,WESTWOOD,3.350011951,0,26.43905605,29.789068,0.112457763,0,0.887542237
336,WEYMOUTH,1.520239188,0,4.022007654,5.542246842,0.274300159,0,0.725699841
342,WILMINGTON,2.476618229,0,7.173479897,9.650098126,0.256641766,0,0.743358234
344,WINCHESTER,1.248094158,3.58271114,0.224417472,5.05522277,0.246892019,0.708714789,0.044393191
346,WINTHROP,0.010745249,0,0.597133773,0.607879022,0.017676624,0,0.982323376
347,WOBURN,2.060787895,0.098140187,2.518429076,4.677357158,0.440588098,0.020981974,0.538429928
350,WRENTHAM,0.078318375,2.329476967,2.07209967,4.479895012,0.01748219,0.519984723,0.462533087
