psiyear,psi,route,direction,FederalAidRouteNumber,segmentid
2007,3,I90 WB,WB,I-90,id353894
2007,2.81407702,I93 NB,NB,I-93,id317491
2007,4,I95 SB,SB,I-95,id148817
2007,4.1999998,I495 SB,SB,I495,id35189
2007,2.79999995,I495 SB,SB,I495,id229114
2007,3.20000004,I93 SB,SB,I-93,id62931
2007,2.23535321,I93 NB,NB,I-93,id70090
2007,3.46913685,I95 SB,SB,I-95,id423634
2007,2.2,I495 NB,NB,I495,id207630
2007,3,I95 SB,SB,I-95,id300950
2007,2.85270351,I495 NB,NB,I495,id239374
2007,4.2885224,I495 NB,NB,I495,id446218
2007,3.20000004,I95 SB,SB,I-95,id394015
2007,3.5999999,I495 SB,SB,I495,id188891
2007,4,I495 SB,SB,I495,id229118
2007,3.20000004,I93 SB,SB,I-93,id319536
2007,3.5,I93 SB,SB,I-93,id238746
2007,3.5,I93 SB,SB,I-93,id62588
2007,3.40000009,I90 WB,WB,I-90,id261005
2007,2.79999995,I90 EB,EB,I-90,id420063
2007,3.5,I90 WB,WB,I-90,id260985
2007,3.7125,I93 NB,NB,I-93,id252043
2007,3,I93 NB,NB,I-93,id56275
2007,2.55619194,I93 NB,NB,I-93,id70089
2007,4,I495 SB,SB,I495,id229161
2007,3.0999999,I95 SB,SB,I-95,id276384
2007,3,I90 EB,EB,I-90,id353377
2007,2.79999995,I495 SB,SB,I495,id229155
2007,2.50008207,I93 NB,NB,I-93,id318545
2007,2.90175622,I95 NB,NB,I-95,id391699
2007,1.38616393,I93 NB,NB,I-93,id58755
2007,2.15751082,I93 NB,NB,I-93,id55918
2007,3.40000009,I93 SB,SB,I-93,id238744
2007,3.5,I90 WB,WB,I-90,id152251
2007,3.1,I95 NB,NB,I-95,id290588
2007,3.0999999,I95 SB,SB,I-95,id276378
2007,3.29999995,I95 SB,SB,I-95,id83027
2007,1.89547769,I93 NB,NB,I-93,id58755
2007,2.5999999,I95 SB,SB,I-95,id323412
2007,3.26686093,I95 NB,NB,I-95,id422634
2007,4,I95 SB,SB,I-95,id148816
2007,3.63201701,I95 SB,SB,I-95,id423607
2007,3.11875451,I495 NB,NB,I495,id228383
2007,3.79999995,I93 SB,SB,I-93,id321287
2007,3.40000009,I90 EB,EB,I-90,id401356
2007,3.7125,I95 NB,NB,I-95,id342817
2007,3.74351451,I95 NB,NB,I-95,id388410
2007,3.37510224,I95 NB,NB,I-95,id205897
2007,3.36629313,I95 NB,NB,I-95,id299106
2007,3.40111888,I95 NB,NB,I-95,id111100
2007,3.47129432,I93 NB,NB,I-93,id70081
2007,3.7125,I95 NB,NB,I-95,id206063
2007,2.40000009,I93 SB,SB,I-93,id87537
2007,3.20000004,I93 SB,SB,I-93,id367111
2007,3.04171668,I95 NB,NB,I-95,id290446
2007,3.5,I90 WB,WB,I-90,id261004
2007,3.5,I93 SB,SB,I-93,id238762
2007,3.79999995,I495 SB,SB,I495,id172740
2007,3.36399715,I93 NB,NB,I-93,id56288
2007,3.0999999,I95 SB,SB,I-95,id436829
2007,2.90000009,I90 WB,WB,I-90,id276402
2007,3.01294914,I95 NB,NB,I-95,id275086
2007,3.20000004,I495 SB,SB,I495,id248779
2007,3,I95 SB,SB,I-95,id112783
2007,3.2,I90 EB,EB,I-90,id452696
2007,3.29999995,I95 SB,SB,I-95,id394014
2007,2.40000009,I93 SB,SB,I-93,id87535
2007,3.08814732,I95 NB,NB,I-95,id388411
2007,1.8798297,I95 SB,SB,I-95,id112753
2007,4,I95 SB,SB,I-95,id343350
2007,3.68670601,I95 NB,NB,I-95,id112216
2007,4,I95 SB,SB,I-95,id343349
2007,3.0999999,I90 WB,WB,I-90,id16558
2007,4.5,I95 NB,NB,I-95,id112382
2007,3.67122833,I495 NB,NB,I495,id153467
2007,2.70000004,I93 SB,SB,I-93,id62948
2007,2.79999995,I495 SB,SB,I495,id67006
2007,3.70000004,I93 SB,SB,I-93,id70699
2007,3,I95 SB,SB,I-95,id112769
2007,3.7125,I95 NB,NB,I-95,id147684
2007,3.71649205,I95 NB,NB,I-95,id388411
2007,2.05719673,I95 NB,NB,I-95,id275083
2007,2.2,I495 NB,NB,I495,id66851
2007,2.5999999,I495 SB,SB,I495,id208483
2007,3.71739949,I95 NB,NB,I-95,id219833
2007,3.5999999,I495 SB,SB,I495,id188877
2007,3.29999995,I93 NB,NB,I-93,id452203
2007,3.20000004,I95 SB,SB,I-95,id276382
2007,3.99776561,I95 SB,SB,I-95,id112786
2007,3.53808037,I93 NB,NB,I-93,id323116
2007,4.1999998,I95 SB,SB,I-95,id220668
2007,3.5,I90 EB,EB,I-90,id260269
2007,3,I95 SB,SB,I-95,id112736
2007,3.54028569,I95 NB,NB,I-95,id382414
2007,3.35530843,I95 NB,NB,I-95,id300034
2007,3,I95 SB,SB,I-95,id262921
2007,2.41069235,I95 SB,SB,I-95,id423632
2007,3.27138888,I93 NB,NB,I-93,id380366
2007,3.70000004,I95 SB,SB,I-95,id291252
2007,2.90000009,I90 WB,WB,I-90,id276381
2007,3.5,I93 SB,SB,I-93,id351263
2007,2.59219203,I93 NB,NB,I-93,id320832
2007,2.28313549,I93 NB,NB,I-93,id51245
2007,2.79999995,I95 SB,SB,I-95,id453423
2007,2.95764426,I93 NB,NB,I-93,id238230
2007,3.0999999,I95 SB,SB,I-95,id436862
2007,2.5999999,I495 SB,SB,I495,id208483
2007,3.29999995,I495 SB,SB,I495,id208465
2007,2.79999995,I290 WB,WB,I290,id229167
2007,4,I95 SB,SB,I-95,id148812
2007,2.97944117,I95 NB,NB,I-95,id392743
2007,3.5,I90 EB,EB,I-90,id259622
2007,2.90000009,I90 EB,EB,I-90,id151087
2007,3.29999995,I95 SB,SB,I-95,id83076
2007,3.40000009,I95 SB,SB,I-95,id393969
2007,2.70000004,I95 SB,SB,I-95,id300924
2007,2.7940901,I93 NB,NB,I-93,id238232
2007,3.67624573,I93 NB,NB,I-93,id56281
2007,3.7125,I95 NB,NB,I-95,id403485
2007,4.1999998,I95 SB,SB,I-95,id83084
2007,2.72,I495 NB,NB,I495,id207647
2007,3.5,I93 SB,SB,I-93,id238762
2007,2.79999995,I90 WB,WB,I-90,id420634
2007,2.70000004,I93 SB,SB,I-93,id62926
2007,3.5,I95 SB,SB,I-95,id453415
2007,2.79999995,I90 EB,EB,I-90,id275069
2007,4.1999998,I95 SB,SB,I-95,id206529
2007,3.5,I90 EB,EB,I-90,id151076
2007,3.29999995,I495 SB,SB,I495,id208468
