TOWN,CENTERLINE_MILES,BICYCLE_LANE_MILES,CYCLE_TRACK_MILES,SHARED_USE_PATH_MILES,TOTAL_OFFROAD,TOWN_ID,PERCENT_OFFROAD,TOTAL_ONROAD,PERCENT_ONROAD
Acton,121,0,0,0,0,2,0,0,0
Arlington,119,1.6,0,5.9,7.5,10,0.06302521,0,0
Ashland,81,0,0,0,0,14,0,0,0
Bedford,84,0.1,0,2.9,3,23,0.035714286,0,0
Bellingham,97,0,0,0,0,25,0,0,0
Belmont,80,2.2,0,0.2,2.3,26,0.02875,0.03,0.000375
Beverly,145,0,0,0,0,30,0,0,0
Bolton,60,0,0,0,0,34,0,0,0
Boston,905,58.7,0.8,48,107.5,35,0.11878453,32.566,0.03598453
Boxborough,38,0,0,0,0,37,0,0,0
Braintree,136,0,0,2,2,40,0.014705882,0,0
Brookline,105,3,0,1.8,4.8,46,0.045714286,0.549,0.005228571
Burlington,111,0,0,1.2,1.2,48,0.010810811,5.3556,0.048248649
Cambridge,141,19.8,2,16.7,38.4,49,0.272340426,4.4234,0.031371631
Canton,105,0,0,0,0,50,0,0,0
Carlisle,56,0,0,0,0,51,0,0,0
Chelsea,47,0,0,0.9,0.9,57,0.019148936,0,0
Cohasset,48,0,0,3.9,3.9,65,0.08125,0,0
Concord,127,0,0,3.5,3.5,67,0.027559055,0,0
Danvers,122,0,0,4.3,4.3,71,0.035245902,0,0
Dedham,103,0.7,0,0,0.7,73,0.006796117,0,0
Dover,62,0,0,0,0,78,0,0,0
Duxbury,122,0,0,0,0,82,0,0,0
Essex,30,0,0,0,0,92,0,0,0
Everett,63,0,0,2.6,2.6,93,0.041269841,0,0
Foxborough,104,0,0,0,0,99,0,0,0
Framingham,235,0,0,0.4,0.4,100,0.001702128,0,0
Franklin,165,0,0,0,0,101,0,0,0
Gloucester,161,0,0,0,0,107,0,0,0
Hamilton,52,0,0,0.9,0.9,119,0.017307692,0,0
Hanover,94,0,0,0,0,122,0,0,0
Hingham,129,0,0,15,15,131,0.11627907,0,0
Holbrook,48,0,0,0,0,133,0,0,0
Holliston,93,0,0,0,0,136,0,0,0
Hopkinton,117,0,0,0,0,139,0,0,0
Hudson,92,0,0,3,3,141,0.032608696,0,0
Hull,53,0,0,0,0,142,0,1.6873,0.031835849
Ipswich,95,0,0,0.4,0.4,144,0.004210526,0,0
Lexington,152,1.8,0,9.8,11.6,155,0.076315789,1.7508,0.011518421
Lincoln,61,0,0,3.2,3.2,157,0.052459016,0,0
Littleton,79,0,0,0,0,158,0,0,0
Lynn,171,0,0,1.2,1.2,163,0.007017544,0,0
Lynnfield,74,0,0,0,0,164,0,0,0
Malden,108,0.5,0,3.2,3.7,165,0.034259259,0,0
Manchester,36,0,0,0,0,166,0,0,0
Marblehead,77,0,0,1.8,1.8,168,0.023376623,0,0
Marlborough,157,0,0,2.2,2.2,170,0.014012739,0,0
Marshfield,165,0,0,0,0,171,0,0,0
Maynard,41,0,0,0,0,174,0,0,0
Medfield,76,0,0,0,0,175,0,0,0
Medford,133,0.9,0,9.2,10.1,176,0.07593985,0,0
Medway,74,0,0,0,0,177,0,0,0
Melrose,82,0,0,0,0,178,0,0,0
Middleton,57,0,0,0,0,184,0,0,0
Milford,118,0,0,4.4,4.4,185,0.037288136,0,0
Millis,52,0,0,0,0,187,0,0,0
Milton,118,4.1,0,2.8,7,189,0.059322034,6.562,0.055610169
Nahant,18,0,0,1.4,1.4,196,0.077777778,0,0
Natick,154,0,0,0.9,0.9,198,0.005844156,0,0
Needham,134,0,0,0.5,0.5,199,0.003731343,2.1748,0.016229851
Newton,302,4.1,0,3,7.1,207,0.023509934,3.6984,0.012246358
Norfolk,82,0,0,0,0,208,0,0,0
North Reading,94,0,0,0,0,213,0,0,0
Norwell,83,0,0,0.8,0.8,219,0.009638554,0,0
Norwood,121,0,0,0,0,220,0,0,0
Peabody,168,0,0,5.2,5.2,229,0.030952381,0,0
Pembroke,113,0,0,0,0,231,0,0,0
Quincy,220,0,0,2.3,2.3,243,0.010454545,0,0
Randolph,113,0,0,0.8,0.8,244,0.007079646,0,0
Reading,98,0,0,0.5,0.5,246,0.005102041,0,0
Revere,107,0,0,2.6,2.6,248,0.024299065,0,0
Rockland,55,0,0,2.3,2.3,251,0.041818182,0,0
Rockport,41,0,0,0,0,252,0,0,0
Salem,99,0.8,0,3,3.8,258,0.038383838,3.5757,0.036118182
Saugus,108,0,0,6,6,262,0.055555556,0,0
Scituate,121,0,0,1.6,1.6,264,0.01322314,0,0
Sharon,115,0,0,0.2,0.2,266,0.00173913,0,0
Sherborn,56,0,0,0,0,269,0,0,0
Somerville,104,5.3,0,3.4,8.7,274,0.083653846,9.3697,0.090093269
Southborough,80,0,0,0,0,277,0,0,0
Stoneham,79,0,0,0.8,0.8,284,0.010126582,0,0
Stoughton,121,0,0,0,0,285,0,0,0
Stow,62,0,0,0,0,286,0,0,0
Sudbury,145,0,0,0,0,288,0,0,0
Swampscott,46,0,0,0.3,0.3,291,0.006521739,0,0
Topsfield,59,0,0,3.3,3.3,298,0.055932203,0,0
Wakefield,103,0,0,0.2,0.2,305,0.001941748,0,0
Walpole,137,0,0,0,0,307,0,0,0
Waltham,159,0,0,2.6,2.6,308,0.016352201,0.7966,0.005010063
Watertown,77,2.6,0,3.8,6.3,314,0.081818182,0,0
Wayland,94,0,0,0.3,0.3,315,0.003191489,0,0
Wellesley,129,0,0,4.5,4.5,317,0.034883721,0,0
Wenham,31,0,0,1.3,1.3,320,0.041935484,0,0
Weston,108,0,0,0,0,333,0,0,0
Westwood,87,0,0,0,0,335,0,0,0
Weymouth,173,0,0,2.1,2.1,336,0.012138728,0,0
Wilmington,119,0,0,0,0,342,0,0,0
Winchester,92,0,0,2.4,2.4,344,0.026086957,0,0
Winthrop,40,0,0,0,0,346,0,0,0
Woburn,147,0,0,2.6,2.6,347,0.017687075,0.3351,0.002279592
Wrentham,91,0,0,0,0,350,0,0.0759,0.000834066
