"bridgeId","healthIndex","year","structDef","town"
"1TU","0.9741","2007","FALSE","Marlborough"
"1TV","0.9402","2007","FALSE","Marlborough"
"1TW","0.7996","2007","FALSE","Marlborough"
"1TX","0.7407","2007","FALSE","Marlborough"
"1TY","0.7268","2007","FALSE","Marlborough"
"1U7","0.9365","2007","FALSE","Southborough"
"1U8","0.9201","2007","FALSE","Southborough"
"1U9","0.7125","2007","FALSE","Southborough"
"1UA","0.7442","2007","FALSE","Southborough"
"1UB","0.8387","2007","TRUE","Southborough"
"1UC","0.8997","2007","FALSE","Southborough"
"1UD","0.7959","2007","FALSE","Milford"
"1UE","0.9381","2007","FALSE","Milford"
"1UF","0.906","2007","FALSE","Milford"
"1UG","0.8489","2007","FALSE","Milford"
"1UH","0.8051","2007","FALSE","Milford"
"1UJ","0.7915","2007","FALSE","Milford"
"1UK","0.7912","2007","FALSE","Milford"
"1UL","0.7725","2007","FALSE","Milford"
"1UM","0.7851","2007","FALSE","Milford"
"1UN","0.7892","2007","FALSE","Milford"
"1UP","0.6435","2007","FALSE","Hopkinton"
"1UQ","0.7468","2007","TRUE","Hopkinton"
"1UR","0.7618","2007","TRUE","Hopkinton"
"1UT","0.9846","2007","FALSE","Hopkinton"
"1UU","0.9703","2007","FALSE","Hopkinton"
"1UV","0.702","2007","FALSE","Hopkinton"
"1UW","0.6704","2007","FALSE","Littleton"
"1V2","0.8639","2007","FALSE","Bolton"
"1V3","0.7883","2007","FALSE","Bolton"
"1V4","0.8925","2007","FALSE","Bolton"
"1V5","0.9036","2007","FALSE","Bolton"
"1V8","0.9763","2007","FALSE","Franklin"
"1V9","0.9767","2007","FALSE","Franklin"
"1VA","0.9737","2007","FALSE","Franklin"
"1VB","0.779","2007","FALSE","Franklin"
"1VC","0.9793","2007","FALSE","Franklin"
"1VD","0.9366","2007","FALSE","Franklin"
"1VE","0.8786","2007","FALSE","Franklin"
"1VF","0.8188","2007","FALSE","Franklin"
"1VG","0.7762","2007","FALSE","Franklin"
"1VH","0.7749","2007","FALSE","Franklin"
"20Q","0.7883","2007","FALSE","Hopkinton"
"24Y","0.6766","2007","FALSE","Wayland"
