MPO_Municipality,Population,Employment,Median_Household_Income,SUBREGION,COMMUNITY_TYPE,MINORITY_2010,MILES_2010,CHAPTER_90,TIP_PARTICIPATION,TIP_SUCCESS,FFY_2008_TIP ,FFY_2009_TIP,FFY_2010_TIP,FFY_2011_TIP,FFY_2012_TIP,FFY_2013_TIP,FFY_2014_TIP,FFY_2015_TIP,FFY_2016_TIP,FFY_2017_TIP,FFY_2018_TIP,FFY_2019_TIP,FFY_2020_TIP,FFY_2021_TIP,Total_FFY_2008_2013_TIPs,Tota_FFY_2014_2021_TIPs,Total_FFY_2008-2021_TIPs,Additional Information
Acton,21924,9273,105523,MAGIC,Maturing Suburb,5369,103,1792862,High,High,0,131620,0,77495,66392,0,0,3924824,0,0,2995200,0,0,0,275507,6920024,7195531,"$7,849,648 split with Maynard (604531); $5,990,400 split with Concord (606223)"
Arlington,42844,8019,82771,Inner Core,Inner Core,7040,101,2008252,High,High,0,0,0,0,0,3506735,1618984,0,0,0,0,0,0,0,3506735,1618984,5125719,0
Ashland,16593,4729,92974,MetroWest,Maturing Suburb,3063,73,1239250,High,High,0,0,0,0,0,0,0,0,0,0,0,0,15532405,0,0,15532405,15532405,0
Bedford,13320,19111,107639,MAGIC,Maturing Suburb,2136,70,1491685,High,High,0,6507462,0,0,0,0,0,0,10845721,3302453,0,0,0,0,6507462,14148174,20655636,"$13,014,923 split with Burlington (29491); $28,296,348 split with Burlington (29492)"
Bellingham,16332,5405,78290,SWAP,Developing Suburb,1347,83,1378103,Medium,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belmont,24729,6422,95197,Inner Core,Inner Core,4611,72,1374725,High,High,0,1733333,0,0,15495738,0,0,0,0,0,0,0,0,0,17229071,0,17229071,"$5,200,000 split with Somerville and Cambridge (600811)"
Beverly,39502,20841,66671,NSTF,Regional Urban Center,3397,125,2559741,High,High,0,0,0,0,0,0,21982712,0,0,0,0,0,0,3509576,0,25492288,25492288,0
Bolton,4897,1235,125741,MAGIC,Developing Suburb,320,60,842145,Low,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston,617594,548255,50684,Inner Core,Inner Core,327282,778,30605530,High,High,8066085,0,2827520,810000,720000,0,0,12446852,4654920,2229018,0,7853499,15214319,21832529,12423605,64231137,76654742,"$4,842,540 split with Everett (602382)"
Boxborough,4996,3845,102222,MAGIC,Developing Suburb,1056,33,567821,Low,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
