Town,Miles
Acton,103
Arlington,101
Ashland,73
Bedford,70
Bellingham,83
Belmont,72
Beverly,125
Bolton,60
Boston,778
Boxborough,33
Braintree,104
Brookline,92
Burlington,94
Cambridge,120
Canton,92
Carlisle,55
Chelsea,44
Cohasset,32
Concord,104
Danvers,104
Dedham,82
Dover,59
Duxbury,103
Essex,24
Everett,57
Foxborough,82
Framingham,219
Franklin,132
Gloucester,88
Hamilton,45
Hanover,85
Hingham,110
Holbrook,34
Holliston,86
Hopkinton,106
Hudson,83
Hull,50
Ipswich,73
Lexington,117
Lincoln,51
Littleton,62
Lynn,153
Lynnfield,66
Malden,93
Manchester,24
Marblehead,66
Marlborough,129
Marshfield,131
Maynard,35
Medfield,72
Medford,92
Medway,70
Melrose,71
Middleton,46
Milford,109
Millis,52
Milton,94
Nahant,17
Natick,123
Needham,119
Newton,276
Norfolk,70
North Reading,76
Norwell,69
Norwood,93
Peabody,159
Pembroke,91
Quincy,185
Randolph,93
Reading,89
Revere,85
Rockland,48
Rockport,33
Salem,88
Saugus,77
Scituate,101
Sharon,106
Sherborn,56
Somerville,88
Southborough,69
Stoneham,65
Stoughton,108
Stow,52
Sudbury,138
Swampscott,43
Topsfield,50
Wakefield,85
Walpole,117
Waltham,115
Watertown,72
Wayland,87
Wellesley,109
Wenham,27
Weston,88
Westwood,80
Weymouth,141
Wilmington,95
Winchester,73
Winthrop,36
Woburn,121
Wrentham,67
