"year","average","firstQuartile","thirdQuartile","median","minimum","maximum","town"
"2007","3.3241022168747683","2.97203902","3.6300976","3.28158132","2.23375967","3.90000009","ACTON"
"2007","3.1781232949345775","3","3.5","3.40000009","0.12916666","3.7125","ARLINGTON"
"2007","4.353704132043882","3.07701283","4.5","4.45290726","2.71323529","4.5","BEDFORD"
"2007","2.7385514302431706","2.612","2.90208772","2.75201904","2.16001435","3.13282317","BELLINGHAM"
"2007","2.45853154415097","2.16040362","2.44976767","2.44976767","1.987001","2.76922843","BELMONT"
"2007","2.7577208736501904","2.79999995","2.79999995","2.79999995","0.54074699","3.54940356","BEVERLY"
"2007","2.7644710789569475","2.3420386","3.16528079","2.79999995","0","4.5","BOSTON"
"2007","2.4521049544986937","2.2","2.27435391","2.2","2.2","2.70000004","BOXBOROUGH"
"2007","3.236204021937879","3.1875","3.5999999","3.40000009","1.86501895","3.70000004","BRAINTREE"
"2007","2.574446372183918","2.29999995","2.79999995","2.5","1.60000002","3.5","BROOKLINE"
"2007","4.110286356955683","3.5999999","4.47345323","3.5999999","1.54858295","4.5","BURLINGTON"
"2007","2.669427354608296","2.26426548","3.0999999","2.8651841","0","3.87947657","CAMBRIDGE"
"2007","3.4771563563216534","2.84194689","3.77933614","3.64023477","2.84194689","4","CANTON"
"2007","2.43463127830721","1.89999997","2.90000009","2.5999999","0.11917098","3.5","CHELSEA"
"2007","3.725578227569993","3.70000004","3.70000004","3.70000004","3.70000004","3.79999995","COHASSET"
"2007","2.8188798973195093","2.5","3.29999995","2.72","1.91582612","3.78503297","CONCORD"
"2007","2.861744889742353","2.70000004","2.79999995","2.79999995","2.55003982","3.81404459","DANVERS"
"2007","2.7186807395584243","2.612","3.08140947","2.75782676","0.77002825","4","DEDHAM"
"2007","3.150866825796568","2.96372375","3.296","3.18127782","2.96372375","3.36445608","DOVER"
"2007","3.5201332950178785","3.40000009","3.4959184","3.40000009","3.29999995","3.79999995","DUXBURY"
"2007","2.79999995","2.79999995","2.79999995","2.79999995","2.79999995","2.79999995","ESSEX"
"2007","2.9392343713950613","2.72","3.3590947","2.90000009","1.10000002","3.76604692","EVERETT"
"2007","3.540482702998076","3.5","3.70000004","3.5999999","2.67064995","3.70000004","FOXBOROUGH"
"2007","2.7058334753669873","2.5","2.78990063","2.70000004","0.0336716","3.61589761","FRAMINGHAM"
"2007","2.8916066438188577","2.79999995","2.87343215","2.79999995","2.79999995","3.11107264","FRANKLIN"
"2007","2.798976476410198","2.79999995","2.79999995","2.79999995","2.5999999","2.79999995","GLOUCESTER"
"2007","3.250134424900441","2.90685711","3.40000009","3.25086449","0.34738369","4","HANOVER"
"2007","3.0502312599270294","2.0999999","3.79999995","3.40000009","1.89999997","3.90000009","HINGHAM"
"2007","2.8910534725038515","2.7","2.90000009","2.83010811","1.46591349","3.7125","LEXINGTON"
"2007","2.927374412090592","2.42812499","3.61406249","2.612","1.47477272","3.7125","LINCOLN"
"2007","2.8211487196399037","2.4043222","3.20000004","2.72","1.4780968","3.79999995","LITTLETON"
"2007","2.9739883860331564","2.72","3.26315505","2.91045633","1.60000002","3.69525545","LYNN"
"2007","2.4126085913514124","0","3.5999999","3.20000004","0","3.79999995","LYNNFIELD"
"2007","3.000413535913936","2.612","3.40000009","2.94777603","1.83738","3.73296415","MALDEN"
"2007","2.7999999499999997","2.79999995","2.79999995","2.79999995","2.79999995","2.79999995","MANCHESTER"
"2007","3.101380984910395","2.72","3.46440733","3.27454704","1.93306615","3.7125","MARLBOROUGH"
"2007","3.530394073116575","3.29999995","3.70000004","3.70000004","2.07147225","3.90000009","MARSHFIELD"
"2007","3.047769226370488","2.72","3.34800265","3.08379401","0.93639344","3.66","MAYNARD"
"2007","3.381088888986174","3.11099593","3.62216245","3.55757182","2.72","3.73703477","MEDFIELD"
"2007","3.0446351094488606","2.6802","3.40000009","3.20000004","1.32530615","3.75188","MEDFORD"
"2007","2.7671773021078887","2.46714745","2.98744538","2.72214765","1.01844627","3.70945573","MEDWAY"
"2007","2.9213413494080083","2.612","2.80362407","2.612","2.612","3.17565333","MELROSE"
"2007","2.8848464337406576","2.612","3.12919535","2.79999995","2.18399484","3.65917418","MIDDLETON"
"2007","3.238426870864772","2.44747066","3.5011407","3.5","1.7495","3.56512694","MILFORD"
"2007","3.2777230344031842","2.89506038","3.51217871","3.37605137","2.72","3.67493867","MILLIS"
"2007","3.3331486132110153","3","3.6551648","3.3550786","2.47244039","4.5","MILTON"
"2007","2.9657500496813984","2.72","3.10619216","3","1.87321565","4.5","NATICK"
