town,year,bike_inj,bike_fat,bike_tot,ped_inj,ped_fat,ped_tot
Acton,2004,0,0,1,3,0,5
Arlington,2004,2,0,2,1,0,1
Ashland,2004,3,0,3,1,0,2
Bedford,2004,1,0,1,1,0,3
Bellingham,2004,0,0,1,0,0,4
Belmont,2004,2,0,4,6,1,10
Beverly,2004,5,0,12,8,1,17
Bolton,2004,0,0,0,0,0,0
Boston,2004,12,2,22,56,7,95
Boxborough,2004,0,0,0,0,0,0
Braintree,2004,6,1,8,11,1,15
Brookline,2004,5,0,9,19,0,28
Burlington,2004,4,0,8,0,0,2
Cambridge,2004,58,0,89,49,2,85
Canton,2004,2,0,2,1,0,2
Carlisle,2004,1,0,1,0,0,0
Chelsea,2004,10,0,13,23,1,32
Cohasset,2004,1,0,1,0,0,0
Concord,2004,6,0,7,1,0,3
Danvers,2004,4,0,5,5,0,7
Dedham,2004,0,0,1,0,0,6
Dover,2004,5,0,6,0,0,0
Duxbury,2004,0,0,0,0,0,0
Essex,2004,1,0,1,0,0,0
Everett,2004,5,0,12,12,1,22
Foxborough,2004,3,0,4,2,0,2
Framingham,2004,18,0,28,23,1,41
Franklin,2004,0,0,1,1,1,5
Gloucester,2004,1,0,1,5,2,8
Hamilton,2004,1,0,1,1,1,2
Hanover,2004,2,0,3,0,0,2
Hingham,2004,5,0,8,3,0,5
Holbrook,2004,3,0,3,3,0,4
Holliston,2004,0,0,1,0,0,1
Hopkinton,2004,1,0,1,1,0,1
Hudson,2004,0,0,0,0,0,0
Hull,2004,3,0,6,3,0,4
Ipswich,2004,1,0,2,0,0,1
Lexington,2004,11,0,13,3,0,6
Lincoln,2004,0,0,2,0,0,0
Littleton,2004,0,0,1,0,0,0
Lynn,2004,15,0,43,57,1,96
Lynnfield,2004,0,0,0,0,0,1
Malden,2004,5,0,9,28,0,45
Manchester,2004,0,0,0,0,0,0
Marblehead,2004,4,0,6,2,0,2
Marlborough,2004,4,0,4,3,1,6
Marshfield,2004,5,0,5,1,1,4
Maynard,2004,0,0,1,0,0,2
Medfield,2004,1,0,3,1,0,1
Medford,2004,9,0,14,9,1,19
Medway,2004,0,0,0,0,1,4
Melrose,2004,1,0,2,6,0,9
Middleton,2004,1,0,1,0,0,0
Milford,2004,1,0,1,1,0,1
Millis,2004,1,0,2,0,0,0
Milton,2004,0,0,1,2,0,5
Nahant,2004,0,0,0,0,0,0
Natick,2004,4,0,7,3,0,5
Needham,2004,1,0,3,2,0,5
Newton,2004,13,0,19,35,0,40
Norfolk,2004,0,0,0,0,0,0
North Reading,2004,1,0,1,0,0,0
Norwell,2004,0,0,2,1,0,1
Norwood,2004,5,0,6,8,2,11
Peabody,2004,8,0,13,6,1,7
Pembroke,2004,3,0,4,3,0,3
Quincy,2004,11,0,21,38,0,57
Randolph,2004,7,0,8,11,0,13
Reading,2004,1,0,5,4,1,9
Revere,2004,2,0,4,10,1,20
Rockland,2004,3,0,3,6,1,7
Rockport,2004,0,0,0,0,0,0
Salem,2004,13,0,20,26,0,38
Saugus,2004,3,0,3,5,1,7
Scituate,2004,0,0,0,0,0,1
Sharon,2004,0,0,0,1,0,1
Sherborn,2004,0,0,0,0,0,0
Somerville,2004,31,1,37,31,1,45
Southborough,2004,0,0,1,1,0,2
Stoneham,2004,0,0,0,5,0,8
Stoughton,2004,4,0,6,6,1,10
Stow,2004,0,0,0,0,0,1
Sudbury,2004,0,0,0,1,0,2
Swampscott,2004,2,0,5,1,1,5
Topsfield,2004,1,0,1,0,0,0
Wakefield,2004,4,0,6,9,0,12
Walpole,2004,0,0,2,1,1,7
Waltham,2004,16,0,26,22,2,32
Watertown,2004,2,0,8,11,1,16
Wayland,2004,0,0,1,0,0,2
Wellesley,2004,7,0,9,16,0,20
Wenham,2004,1,0,1,2,0,2
Weston,2004,2,0,3,0,1,1
Westwood,2004,0,0,1,0,0,0
Weymouth,2004,4,1,10,12,0,22
Wilmington,2004,1,0,2,1,0,1
Winchester,2004,3,0,8,3,0,4
Winthrop,2004,0,0,1,7,0,11
Woburn,2004,3,1,7,9,0,11
Wrentham,2004,0,0,1,0,0,0
Total,2004,385,6,631,649,39,1055
Acton,2005,1,0,2,3,0,6
Arlington,2005,2,0,2,3,0,4
Ashland,2005,0,0,0,0,1,1
Bedford,2005,0,0,5,0,0,3
Bellingham,2005,2,0,4,0,0,3
Belmont,2005,5,0,6,6,0,6
Beverly,2005,7,0,12,5,0,19
Bolton,2005,0,0,0,0,0,0
Boston,2005,5,0,16,32,7,71
Boxborough,2005,0,0,0,0,0,0
Braintree,2005,4,0,4,5,0,8
Brookline,2005,20,0,33,23,1,39
Burlington,2005,0,0,1,2,0,3
Cambridge,2005,71,0,115,64,3,108
Canton,2005,1,0,1,2,0,5
Carlisle,2005,0,0,1,0,0,0
Chelsea,2005,6,0,10,35,0,47
Cohasset,2005,0,0,1,0,0,0
Concord,2005,3,0,8,3,0,3
