ROUTEKEY,ROUTE_NUM,ROUTE_DIR,MEASURE,PRIMARYKEY,EXITNUMBER,NAME
I495 NB,I495,NB,37.552,I495 NB 15,15,Route 1A
I495 NB,I495,NB,40.941,I495 NB 16,16,NULL
I495 NB,I495,NB,43.166,I495 NB 17,17,Route 140
I495 NB,I495,NB,45.808,I495 NB 18,18,Route 126
I495 NB,I495,NB,48.303,I495 NB 19,19,Route 109
I495 NB,I495,NB,50.231,I495 NB 20,20,NULL
I495 NB,I495,NB,54.128,I495 NB 21,21,NULL
I495 NB,I495,NB,57.6,I495 NB 22 ,22,I-90
I495 NB,I495,NB,61.7,I495 NB 23C,23C,NULL
I495 NB,I495,NB,63.094,I495 NB 24,24,NULL
I495 NB,I495,NB,64.847,I495 NB 25,25,I-290
I495 NB,I495,NB,69.913,I495 NB 27,27,Route 117
I495 NB,I495,NB,74.55,I495 NB 28,28,NULL
I495 NB,I495,NB,77.544,I495 NB 29,29,Route 2
I495 NB,I495,NB,79.076,I495 NB 30,30,NULL
I495 NB,I495,NB,80.09,I495 NB 31,31,NULL
I90 EB,I90,EB,106.522,I90 EB 11A,11A,I-495
I90 EB,I90,EB,111.453,I90 EB 12,12,Route 9
I90 EB,I90,EB,117.127,I90 EB 13,13,Route 30
I90 EB,I90,EB,123.09,I90 EB 14,14,NULL
I90 EB,I90,EB,123.44,I90 EB 15,15,I-95/Route 128
I90 EB,I90,EB,125.18,I90 EB 16,16,NULL
I90 EB,I90,EB,127.532,I90 EB 17,17,Newton/Watertown 
I90 EB,I90,EB,130.60713,I90 EB 18,18,NULL
I90 EB,I90,EB,130.92,I90 EB 19,19,Brighton/Cambridge
I90 EB,I90,EB,130.93,I90 WB 20,20,NULL
I90 EB,I90,EB,132.828,I90 EB 21,21,NULL
I90 EB,I90,EB,133.29,I90 EB 22,22,NULL
I90 EB,I90,EB,133.792,I90 EB 23,23,NULL
I90 EB,I90,EB,134.26,I90 EB 24,24,I-93
I90 EB,I90,EB,134.998,I90 EB 25,25,NULL
I90 EB,I90,EB,137.18,I90 EB 26,26,Logan Airport
I93 NB,I93,NB,1.426,I93 NB 2,2,NULL
I93 NB,I93,NB,2.614,I93 NB 3,3,NULL
I93 NB,I93,NB,3.473,I93 NB 4,4,Route 24
I93 NB,I93,NB,4.236,I93 NB 5,5,NULL
I93 NB,I93,NB,6.45,I93 NB 6,6,NULL
I93 NB,I93,NB,7.085,I93 NB 7,7,Route 3
I93 NB,I93,NB,8.205,I93 NB 8,8,NULL
I93 NB,I93,NB,9.342,I93 NB 9,9,NULL
I93 NB,I93,NB,10.125,I93 NB 10,10,NULL
I93 NB,I93,NB,10.854,I93 NB 11,11,NULL
I93 NB,I93,NB,11.725,I93 NB 12,12,Route 3A
I93 NB,I93,NB,12.664,I93 NB 13,13,NULL
I93 NB,I93,NB,12.862,I93 NB 14,14,NULL
I93 NB,I93,NB,14.374,I93 NB 15,15,Columbia Rd. 
I93 NB,I93,NB,15.097,I93 NB 16,16,NULL
I93 NB,I93,NB,15.508,I93 NB 18,18,NULL
I93 NB,I93,NB,16.327,I93 NB 20,20,I-90
I93 NB,I93,NB,17.373,I93 NB 23,23,NULL
I93 NB,I93,NB,17.647,I93 SB 24,24,NULL
I93 NB,I93,NB,18.118,I93 NB 26,26,NULL
I93 NB,I93,NB,18.376,I93 NB 27,27,Route 1
I93 NB,I93,NB,19.539,I93 NB 28,28,NULL
I93 NB,I93,NB,20.421,I93 NB 29,29,NULL
I93 NB,I93,NB,21.14,I93 NB 30,30,NULL
I93 NB,I93,NB,22.102,I93 NB 31,31,Route 16
I93 NB,I93,NB,22.504,I93 NB 32,32,NULL
I93 NB,I93,NB,23.18,I93 NB 33,33,NULL
I93 NB,I93,NB,25.302,I93 NB 34,34,NULL
I93 NB,I93,NB,26.05,I93 NB 35,35,NULL
I93 NB,I93,NB,26.879,I93 NB 36,36,NULL
I93 NB,I93,NB,28.5,I93 NB 37A/B,37 A/B,I-95/Route 128
I93 NB,I93,NB,29.906,I93 NB 37C,37C,NULL
I93 NB,I93,NB,31.088,I93 NB 38,38,Route 129
I93 NB,I93,NB,32.587,I93 NB 39,39,NULL
I93 NB,I93,NB,34.015,I93 NB 40,40,NULL
I93 NB,I93,NB,34.58,I93 NB 41,41,Route 125
I95 NB,I95,NB,12.968,I95 NB 7,7,NULL
I95 NB,I95,NB,16.64,I95 NB 8,8,NULL
I95 NB,I95,NB,19.268,I95 NB 9,9,Route 1
I95 NB,I95,NB,21.064,I95 NB 10,10,NULL
I95 NB,I95,NB,23.289,I95 NB 11,11,NULL
I95 NB,I95,NB,26.746,I95 NB 12,12,I-95/Route 128
I95 NB,I95,NB,27.311,I95 NB 13,13,NULL
I95 NB,I95,NB,28.653,I95 NB 14,14,NULL
I95 NB,I95,NB,29.336,I95 NB 15,15,NULL
I95 NB,I95,NB,30.843,I95 NB 16,16,Route 109
I95 NB,I95,NB,32.324,I95 NB 17,17,NULL
I95 NB,I95,NB,32.785,I95 NB 18,18,NULL
I95 NB,I95,NB,35.552,I95 NB 19,19,NULL
I95 NB,I95,NB,36.618,I95 NB 20,20,Route 9
I95 NB,I95,NB,37.989,I95 NB 21,21,NULL
I95 NB,I95,NB,38.336,I95 NB 22,22,NULL
I95 NB,I95,NB,38.794,I95 NB 23,23,NULL
