TOWN_ID,TOWN,fac_stat_1_total_miles,fac_stat_2_total_miles,fac_stat_3_total_miles
2,ACTON,0,0,0.578978726
10,ARLINGTON,5.397629326,0,0.028741816
14,ASHLAND,0.739838988,0,2.586559642
23,BEDFORD,3.292645362,0,0
25,BELLINGHAM,4.374393072,0,0
26,BELMONT,0.525901786,0,2.501790817
30,BEVERLY,1.296908194,0.179812058,0.563923456
34,BOLTON,0,0,0.022235303
35,BOSTON,74.41891869,0,43.12220576
37,BOXBOROUGH,0,0,0
40,BRAINTREE,0.667609882,0,0.599222093
46,BROOKLINE,2.663170768,0,0
48,BURLINGTON,1.547077729,0,0.131413536
49,CAMBRIDGE,17.27315824,0.156909256,6.158812029
50,CANTON,0,0,0
51,CARLISLE,0,0,0
57,CHELSEA,0.875837805,0.678308186,0.253133598
65,COHASSET,1.200419996,0,0
67,CONCORD,6.774798015,2.382162035,1.454178573
71,DANVERS,4.011981443,0,0.655430779
73,DEDHAM,1.930223907,0,2.620361627
78,DOVER,0.14434564,0,3.983590402
82,DUXBURY,0,0,0
92,ESSEX,0,0,0.658159894
93,EVERETT,2.56447191,0,3.17198351
99,FOXBOROUGH,0,0,0
100,FRAMINGHAM,10.87039293,0,1.764858494
101,FRANKLIN,0,0,0
107,GLOUCESTER,1.124955773,0,0
119,HAMILTON,0.538220911,0,0.256117994
122,HANOVER,0.726470106,0,1.983106455
131,HINGHAM,5.202110708,0,0.451098318
133,HOLBROOK,0,0,0
136,HOLLISTON,11.166832,0,0
139,HOPKINTON,2.439123133,0,3.127801373
141,HUDSON,5.135463795,0,2.562126236
142,HULL,0,0,0
144,IPSWICH,0,0,0
155,LEXINGTON,10.34694323,0,0
157,LINCOLN,0.606710551,0,0
158,LITTLETON,0,0,0
163,LYNN,4.301745025,0,1.284074598
164,LYNNFIELD,0,0,1.687603882
165,MALDEN,3.825257181,0,0.223644915
166,MANCHESTER,0,0,0
168,MARBLEHEAD,2.861371172,0,0.137503151
170,MARLBOROUGH,6.167088274,0,6.403469615
171,MARSHFIELD,4.773338311,0,0.526376374
174,MAYNARD,1.341294377,0,0
175,MEDFIELD,0,0,0
176,MEDFORD,9.09183849,0,1.396900686
177,MEDWAY,0,0,1.267143113
178,MELROSE,1.716595882,0,0
184,MIDDLETON,0,0,5.687772384
185,MILFORD,6.258350103,0,0.188173178
187,MILLIS,0,0,0
189,MILTON,4.978801285,0,2.213450951
196,NAHANT,0.646428923,0,0
198,NATICK,6.420086527,0,4.642229529
199,NEEDHAM,3.301593301,0,1.417465554
207,NEWTON,6.965678274,0,1.434878069
208,NORFOLK,0,0,0.431256404
213,NORTH READING,0.845399561,0,0
219,NORWELL,0.198455101,0,0.881488076
220,NORWOOD,0,0,0.05429068
229,PEABODY,5.631176194,0,4.707384435
231,PEMBROKE,0,0,0
243,QUINCY,5.762450498,0,1.503677875
244,RANDOLPH,2.170012095,0,0.784374746
246,READING,0.444380032,0,0
248,REVERE,2.641481397,0,0
251,ROCKLAND,1.620715999,0,0
252,ROCKPORT,0.064956131,0,0
258,SALEM,4.511260377,0,1.057992183
262,SAUGUS,6.71066744,0,0
264,SCITUATE,1.486055832,0,0
266,SHARON,0.164363283,0,0
269,SHERBORN,0,0,0
274,SOMERVILLE,3.382320938,0,1.903210212
277,SOUTHBOROUGH,3.244015288,0,5.637639359
284,STONEHAM,1.413960193,0,1.495507467
285,STOUGHTON,0,0,2.019479026
286,STOW,9.010109527,0,1.211427509
288,SUDBURY,5.612433385,0,0.021547024
291,SWAMPSCOTT,0.544697574,0,1.567634949
298,TOPSFIELD,2.507093481,0,0
305,WAKEFIELD,1.348558094,0,6.31007771
307,WALPOLE,0,0,3.232565513
308,WALTHAM,9.08178028,0,2.768762898
314,WATERTOWN,6.093547975,0,0.425530715
315,WAYLAND,1.951498056,0,2.754210875
317,WELLESLEY,6.332880675,0,0.305833216
320,WENHAM,2.157554755,0,0
333,WESTON,9.801991891,0,0
335,WESTWOOD,0.347209213,0,0.640452131
336,WEYMOUTH,2.653383332,0,0.744953327
342,WILMINGTON,0,0,2.811999979
344,WINCHESTER,2.523571706,0,1.967891721
346,WINTHROP,0.34277496,0,0.292458989
347,WOBURN,1.925410801,0,1.50640385
350,WRENTHAM,1.690675245,0,3.338452167
