TOWN_ID,name,SIDEWALK_MI,BIKE_TRAIL_MI,BIKE_LANE_MI
51,CARLISLE,2.8138,0,0
243,QUINCY,181.9,2.24,1.6
133,HOLBROOK,24.8079,0,2.68
99,FOXBOROUGH,36.2567,5.07,3.2087
286,STOW,7.6056,1.86,0.1897
198,NATICK,85.3195,6.46,3.5
136,HOLLISTON,30.4488,0,0
100,FRAMINGHAM,116.7622,6.96,7.16
34,BOLTON,1.8694,0,0
165,MALDEN,88,0,1.9
2,ACTON,16.9249,3.6685257,2.0709
251,ROCKLAND,34.41,0,1.9101
171,MARSHFIELD,42.898,0,3.8201
196,NAHANT,10.579,1.36,0
342,WILMINGTON,31.0304,1.98,0
185,MILFORD,46.1597,3.16,0.3
82,DUXBURY,2.2595,7.63,0
158,LITTLETON,9.395,0,4.1008
350,WRENTHAM,21.7334,10.4,4.0292
178,MELROSE,57,0,0.8
107,GLOUCESTER,41.0368,0,2.3499
320,WENHAM,5.5319,1.61,1.76
344,WINCHESTER,48.8953,2.46,0
141,HUDSON,40.9851,3.09,1.89
184,MIDDLETON,16.545,0,0
231,PEMBROKE,26.4031,1.9,1.1
163,LYNN,131.6,9.685,1.1
284,STONEHAM,45.6942,0.09,1.32
170,MARLBOROUGH,81.5139,3.3669,0.1
229,PEABODY,118.3706,4.61,3.78
336,WEYMOUTH,94.2678,2.13,4.53
208,NORFOLK,19.8478,0,0
213,NORTH READING,37.8117,0,1.3183
71,DANVERS,78.1482,0,2.63
308,WALTHAM,101.4634,5.22,1.43
174,MAYNARD,14.5639,1.319,2.2
144,IPSWICH,14.7624,8.65,5.4941
92,ESSEX,5.732,0,3.06
35,BOSTON,787.1,82.84,28
264,SCITUATE,26.8339,0.13,5.2203
48,BURLINGTON,24.4451,1.05,0
199,NEEDHAM,103.0374,2.12,0.26
187,MILLIS,16.3814,0,0
93,EVERETT,56.5,1.06,0.7
288,SUDBURY,10.9583,2.22,0.4
57,CHELSEA,41.1,0.917,0
101,FRANKLIN,91.5247,1.42,0.9968
177,MEDWAY,27.0727,0,0
40,BRAINTREE,75.5441,2.02,1.79
122,HANOVER,20.433,0,4.5199
314,WATERTOWN,70,6.24,2.5
131,HINGHAM,46.7698,4.46,2.3101
315,WAYLAND,7.6678,6.49,2.7499
78,DOVER,0.959,0,0
49,CAMBRIDGE,124.4,21.48,21
333,WESTON,20.014,0.86,0.9371
23,BEDFORD,36.3446,6.03,0.5565
119,HAMILTON,8.0751,5.23,0
244,RANDOLPH,70.7715,3.98,0.89
274,SOMERVILLE,94.3,2.67,3.7
291,SWAMPSCOTT,35.086,1.87,0
157,LINCOLN,1.9246,5.82,1.0945
262,SAUGUS,38.5378,5.7,3.56
335,WESTWOOD,29.5487,0,2.08
142,HULL,18.3635,3,1.85
176,MEDFORD,105.1,8.47,0.3
347,WOBURN,66.8689,2.79,0.25
14,ASHLAND,25.199,7.41,0
25,BELLINGHAM,29.756,2.95,2.0201
248,REVERE,77.3,0,5
298,TOPSFIELD,12.12,0.73,4.7
246,READING,47.878,0,0
207,NEWTON,251.3124,5.48,0.47
317,WELLESLEY,65.4509,7.75,0.24
220,NORWOOD,77.9583,0,3.48
168,MARBLEHEAD,40.5886,3.31,0
285,STOUGHTON,44.6215,0,2.2598
46,BROOKLINE,94,2.73,2.8
307,WALPOLE,73.9285,7.9,0
189,MILTON,73.9985,1.04,5.24
50,CANTON,38.0712,3.35,2.7955
266,SHARON,54.4835,7.48,1.3
346,WINTHROP,34.8,1.29,0.1
155,LEXINGTON,58.5841,8.02,1.13
37,BOXBOROUGH,5.766,0,0.2945
73,DEDHAM,62.712,0,0.91
252,ROCKPORT,8.2508,0,0.0724
30,BEVERLY,88.7414,0,0
10,ARLINGTON,81.1,4.65,1.2
305,WAKEFIELD,66.2325,0.83,0
277,SOUTHBOROUGH,20.8716,2.38,1.3258
67,CONCORD,39.4833,10.24,0.9677
269,SHERBORN,10.8475,11.29,1.6699
175,MEDFIELD,31.8711,0.132,0
258,SALEM,76.3,4.92,2.2
139,HOPKINTON,41.9515,0,4.466
26,BELMONT,56.1293,0.31,1.99
65,COHASSET,7.72,2.69,2.6
166,MANCHESTER,12.1995,0,0
164,LYNNFIELD,48.4492,0.14,0
219,NORWELL,6.5973,0.13,0.5199
