"year","center_line_miles","sidewalk_miles","sidewalk_to_miles","sidewalk_any_miles","town"
"2006","160.84686","17.89825","0.11128","20.80145","ACTON"
"2006","133.01193","83.37821","0.62685","152.18834","ARLINGTON"
"2006","105.56996","28.36484","0.26868","31.0183","ASHLAND"
"2006","105.86738","30.457","0.28769","34.40878","BEDFORD"
"2006","125.5981","30.72471","0.24463","40.14685","BELLINGHAM"
"2006","93.07113","58.62766","0.62992","107.35128","BELMONT"
"2006","175.3303","98.46662","0.56161","169.14906","BEVERLY"
"2006","82.57102","2.11054","0.02556","2.53713","BOLTON"
"2006","1136.08","824.01536","0.72531","1514.59","BOSTON"
"2006","50.9406","4.45674","0.08749","4.45674","BOXBOROUGH"
"2006","186.06387","81.97355","0.44057","136.20348","BRAINTREE"
"2006","136.75389","97.90838","0.71595","169.76138","BROOKLINE"
"2006","141.70652","25.53044","0.18016","28.49535","BURLINGTON"
"2006","160.07247","126.6866","0.79143","236.88531","CAMBRIDGE"
"2006","142.38836","38.2292","0.26849","45.74216","CANTON"
"2006","75.86974","2.82801","0.03727","2.82801","CARLISLE"
"2006","56.22599","43.64793","0.77629","78.76631","CHELSEA"
"2006","71.76993","10.20121","0.14214","12.17059","COHASSET"
"2006","153.7357","41.43305","0.26951","55.91468","CONCORD"
"2006","162.94115","81.60194","0.50081","135.04022","DANVERS"
"2006","125.49954","65.54862","0.5223","97.47465","DEDHAM"
"2006","72.52622","1.0058","0.01387","1.15209","DOVER"
"2006","175.31763","2.91674","0.01664","3.25912","DUXBURY"
"2006","45.19459","5.76265","0.12751","6.53484","ESSEX"
"2006","81.73785","58.45183","0.71511","111.05065","EVERETT"
"2006","134.17135","38.33197","0.28569","56.18769","FOXBOROUGH"
"2006","296.96158","117.79599","0.39667","157.47964","FRAMINGHAM"
"2006","199.74718","93.68664","0.46903","135.95851","FRANKLIN"
"2006","206.17111","42.42","0.20575","64.97535","GLOUCESTER"
"2006","76.34597","10.80583","0.14154","11.66955","HAMILTON"
"2006","117.63736","9.53549","0.08106","9.7765","HANOVER"
"2006","193.69307","43.42534","0.2242","49.61773","HINGHAM"
"2006","57.851","25.18463","0.43534","44.35917","HOLBROOK"
"2006","109.78822","34.98291","0.31864","46.57322","HOLLISTON"
"2006","147.76109","43.58941","0.295","44.59451","HOPKINTON"
"2006","116.62564","42.88794","0.36774","71.81088","HUDSON"
"2006","64.53091","22.13322","0.34299","30.65039","HULL"
"2006","136.65186","14.78262","0.10818","19.14415","IPSWICH"
"2006","201.47204","59.46252","0.29514","74.45854","LEXINGTON"
"2006","89.59116","1.75336","0.01957","1.75336","LINCOLN"
"2006","113.54973","12.10147","0.10657","12.10147","LITTLETON"
"2006","199.27396","140.81319","0.70663","259.90156","LYNN"
"2006","82.84584","53.94478","0.65115","89.84486","LYNNFIELD"
"2006","124.93833","89.3856","0.71544","170.04433","MALDEN"
"2006","53.48937","12.7325","0.23804","17.85726","MANCHESTER"
"2006","89.70038","43.24982","0.48216","72.96781","MARBLEHEAD"
"2006","213.2617","83.43798","0.39125","137.59278","MARLBOROUGH"
"2006","204.24472","45.28682","0.22173","57.0543","MARSHFIELD"
"2006","60.29161","15.30215","0.2538","24.03743","MAYNARD"
"2006","97.79188","32.90343","0.33646","55.96637","MEDFIELD"
"2006","150.96149","107.53209","0.71231","194.36435","MEDFORD"
"2006","92.26692","26.74178","0.28983","30.42582","MEDWAY"
"2006","88.72006","57.95105","0.65319","105.7734","MELROSE"
"2006","70.21385","15.25311","0.21724","17.50368","MIDDLETON"
"2006","144.56077","55.15732","0.38155","76.95185","MILFORD"
"2006","66.27072","16.26539","0.24544","23.2751","MILLIS"
"2006","154.12521","81.14712","0.5265","132.58454","MILTON"
"2006","20.38977","11.01176","0.54006","16.46592","NAHANT"
"2006","183.79409","91.75148","0.49921","143.83635","NATICK"
"2006","155.90767","105.93557","0.67948","185.32526","NEEDHAM"
"2006","353.67161","258.6405","0.7313","456.45356","NEWTON"
"2006","90.11937","15.14003","0.168","15.14003","NORFOLK"
"2006","97.60726","35.71322","0.36589","62.73131","NORTH READING"
"2006","109.48888","4.90422","0.04479","5.59968","NORWELL"
"2006","139.24502","79.66915","0.57215","141.84849","NORWOOD"
"2006","226.52159","127.69198","0.56371","237.72123","PEABODY"
"2006","137.16202","28.76028","0.20968","32.79726","PEMBROKE"
"2006","265.0427","188.67286","0.71186","345.85307","QUINCY"
"2006","136.32726","72.82751","0.53421","117.66003","RANDOLPH"
"2006","111.34033","48.82475","0.43852","82.44484","READING"
"2006","119.0363","77.11355","0.64782","131.38421","REVERE"
"2006","84.80143","42.99486","0.50701","60.56269","ROCKLAND"
"2006","64.16766","9.9348","0.15483","13.69355","ROCKPORT"
"2006","128.49547","76.87571","0.59828","135.49345","SALEM"
"2006","131.08185","43.805","0.33418","71.14942","SAUGUS"
"2006","143.85174","28.44697","0.19775","30.71596","SCITUATE"
"2006","149.63699","56.23328","0.3758","91.66736","SHARON"
"2006","65.77063","11.49171","0.17472","11.49171","SHERBORN"
"2006","114.37078","98.18083","0.85844","182.5694","SOMERVILLE"
"2006","101.78599","13.2565","0.13024","14.01211","SOUTHBOROUGH"
"2006","91.0876","45.69496","0.50166","78.43133","STONEHAM"
"2006","157.96914","45.44326","0.28767","51.36854","STOUGHTON"
"2006","77.24346","7.65854","0.09915","7.65854","STOW"
"2006","170.30929","4.74762","0.02788","5.18054","SUDBURY"
"2006","54.8415","36.39118","0.66357","66.58793","SWAMPSCOTT"
"2006","72.63196","13.21693","0.18197","13.21693","TOPSFIELD"
"2006","112.66737","64.747","0.57467","111.96384","WAKEFIELD"
"2006","161.72057","73.9091","0.45702","94.96859","WALPOLE"
"2006","225.72864","104.27069","0.46193","187.58456","WALTHAM"
"2006","103.8433","71.46804","0.68823","133.99678","WATERTOWN"
"2006","115.37486","8.70023","0.07541","9.88914","WAYLAND"
"2006","155.61436","67.2759","0.43232","101.09497","WELLESLEY"
"2006","39.57164","7.36644","0.18615","8.05305","WENHAM"
"2006","132.22214","20.50232","0.15506","22.36942","WESTON"
"2006","108.01032","32.28381","0.2989","35.62506","WESTWOOD"
"2006","229.75945","100.64497","0.43804","153.07362","WEYMOUTH"
"2006","154.59928","31.52477","0.20391","52.3621","WILMINGTON"
"2006","104.3514","49.34577","0.47288","81.79031","WINCHESTER"
"2006","44.92858","35.22143","0.78394","63.65799","WINTHROP"
"2006","180.24264","76.20455","0.42279","123.19813","WOBURN"
"2006","115.10713","22.69175","0.19714","24.8262","WRENTHAM"
"2007","161.71988","17.85232","0.11039","20.74506","ACTON"
"2007","133.25144","83.3644","0.62562","152.13649","ARLINGTON"
"2007","106.71392","28.36474","0.2658","31.0182","ASHLAND"
"2007","106.29591","30.45711","0.28653","34.40877","BEDFORD"
"2007","126.09323","30.83045","0.24451","40.25174","BELLINGHAM"
