GEOID,AREA_LAND_ONLY,AREA_WITH_WATER,STATE,COUNTY,TRACT,TOTAL_POP_2010,MINORITY_POP,MINORITY_PCT,TOTAL_HH_2010,MINORITY_HH,MINORITY_HH_PCT,POP_65_PLUS,PCT_65_PLUS,POP_75_PLUS,PCT_75_PLUS,SINGLE_FEMALE_HOH,SINGLE_FEMALE_HOH_PCT,POP2010_16_PLUS,LABOR_FORCE,PCT_IN_LABOR_FORCE,LOW_INC_HH,LOW_INC_HH_PCT,MEDIAN_HH_INC,ACS2012_TOT_HH,AGGREG_HH_INC,POP2010_5_PLUS,LEP_POP,LEP_POP_PCT,ZERO_VEH_HH,ZERO_VEH_HH_PCT,LAND_AREA,TOWN_ID,TOWN,COUNTY_SUBDIVISION
25021409102,"17,714,322.00","556,587.00",25,21,"409,102","5,010",220,0.0439,"1,664",53,0.0319,409,0.0816,142,0.0283,101,0.0607,"3,679","2,501",0.6797,316,0.19,"121,344","1,758","262,795,296.00","4,698",42,0.0089,49,0.0296,6.839537961,208,Norfolk,"46,050"
25027744200,"14,017,219.00","479,299.00",25,27,"744,200","7,484","1,319",0.1762,"2,930",400,0.1365,995,0.133,552,0.0738,333,0.1137,"5,943","4,275",0.7193,"1,072",0.366,"60,867","2,743","224,236,192.00","6,982",843,0.1207,207,0.0707,5.412078513,185,Milford,"41,165"
25021443101,"24,869,769.00","777,885.00",25,21,"443,101","7,638",650,0.0851,"2,920",196,0.0671,932,0.122,373,0.0488,315,0.1079,"6,078","4,452",0.7325,617,0.2114,"78,508","3,037","271,332,096.00","7,151",228,0.0319,58,0.0198,9.602271493,25,Bellingham,"4,930"
25017322200,"6,980,291.00","160,865.00",25,17,"322,200","3,687",417,0.1131,"1,531",140,0.0914,637,0.1728,290,0.0787,119,0.0777,"2,968","1,973",0.6648,588,0.3838,"70,671","1,597","151,788,496.00","3,463",357,0.1031,136,0.0889,2.695105422,141,Hudson,"31,540"
25017384001,"3,119,548.00","921,967.00",25,17,"384,001","1,437",345,0.2401,553,106,0.1917,207,0.1441,94,0.0654,46,0.0832,"1,167",918,0.7864,138,0.25,"91,346",568,"58,388,700.00","1,347",28,0.0208,44,0.0792,1.204464216,100,Framingham,"24,925"
25017324102,"20,119,997.00","1,024,222.00",25,17,"324,102","4,163",334,0.0802,"1,527",92,0.0602,518,0.1244,228,0.0548,105,0.0688,"3,172","2,236",0.7048,310,0.2027,"109,637","1,579","197,798,800.00","3,917",29,0.0073,44,0.0285,7.768374272,158,Littleton,"35,950"
25017364101,"5,038,701.00","201,640.00",25,17,"364,101","5,266",548,0.1041,"2,243",155,0.0691,792,0.1504,353,0.067,202,0.0901,"4,251","3,247",0.7639,706,0.3147,"78,520","2,278","194,073,904.00","4,907",46,0.0094,136,0.0606,1.945453332,174,Maynard,"39,625"
25021456101,"7,639,924.00","54,555.00",25,21,"456,101","3,776",833,0.2206,"1,231",214,0.1738,718,0.1901,430,0.1139,154,0.1251,"3,101","2,162",0.6972,301,0.2443,"108,603","1,261","132,130,496.00","3,608",257,0.0713,48,0.0389,2.949791148,285,Stoughton,"67,945"
25021456200,"8,873,206.00","65,502.00",25,21,"456,200","3,146",738,0.2346,"1,129",204,0.1807,499,0.1586,225,0.0715,158,0.1399,"2,565","1,723",0.6716,264,0.234,"86,250","1,184","111,518,800.00","2,997",189,0.0631,33,0.0296,3.42596399,285,Stoughton,"67,945"
25021412100,"9,271,196.00","393,650.00",25,21,"412,100","6,334",510,0.0805,"2,249",126,0.056,"1,077",0.17,544,0.0859,154,0.0685,"4,657","3,293",0.7071,461,0.2049,"128,250","2,221","336,336,192.00","6,006",118,0.0197,106,0.0473,3.579628788,335,Westwood,"78,690"
