OBJECTID,All_Bridges_2008April_BDEPT,All_Bridges_2008April_BIN,All_Bridges_2008April_Health_Index,All_Bridges_2008April_Item_6A,All_Bridges_2008April_Item_7,All_Bridges_2008April_Item___8_Bridge_Cat,All_Bridges_2008April_Item___8_Owner,All_Bridges_2008April_Item__16A,All_Bridges_2008April_Item__16B,All_Bridges_2008April_Item__16C,All_Bridges_2008April_Item__17A,All_Bridges_2008April_Item__17B,All_Bridges_2008April_Item__17C,All_Bridges_2008April_Item__26,All_Bridges_2008April_Item__28A,All_Bridges_2008April_Item__29,All_Bridges_2008April_Item__49,All_Bridges_2008April_Item__52,All_Bridges_2008April_Item__58,All_Bridges_2008April_Item_104,All_Bridges_2008April_Posting_2_Axle,All_Bridges_2008April_Posting_3_Axle,All_Bridges_2008April_Posting_5_Axle,All_Bridges_2008April_Struct_Def,All_Bridges_2008April_Town_Name,All_Bridges_2008April_RPA
1,B16606,633,0.888888889,COMB  MGH PKNG & MBTA,I  93 RAMP N-S,NBI,MHS,42,22,5.159999847,71,3,48.71,11,2,45981,180.7,11,8,TRUE,0,0,0,FALSE,Boston,MAPC
2,B16606,634,0.814814815,COMB  NASHUA ST&MGH PKNG,I  93 RAMP N-S,NBI,MHS,42,21,59.77999878,71,3,48.82,11,2,45981,70.3,10.9,7,TRUE,0,0,0,FALSE,Boston,MAPC
3,B16607,6JN,0.851851852,RR    MBTA,I  93 RAMP S-N,NBI,MHS,4,21,59.45000076,71,3,48.38,11,2,41222,203,11,8,TRUE,0,0,0,FALSE,Boston,MAPC
4,B16607,6JT,0.814814815,HWY   NASHUA ST,I  93 RAMP S-N,NBI,MHS,42,21,58.02000046,71,3,51.48,11,3,11700,81.2,13.5,7,TRUE,0,0,0,FALSE,Boston,MAPC
5,M06009,1L4,0.9124,I 495,US 20 EB/BSTN PST,NBI,MHD,42,20,28.37759972,71,34,33.3768,14,3,36400,86.9,15,6,TRUE,0,0,0,FALSE,Marlborough,MAPC
6,M06009,1L5,0.7884,I 495,US 20 WB/BSTN PST,NBI,MHD,42,20,28.37759972,71,34,33.3768,14,3,34000,86.9,15,6,TRUE,0,0,0,FALSE,Marlborough,MAPC
7,F07068,A4K,0.9988,ST  9 EB,ST  9 RAMP E,NBI,MHD,42,17,59,71,29,2,19,1,2700,101.2,9,8,TRUE,0,0,0,FALSE,Framingham,MAPC
8,M06014,1TU,0.9741,WATER ASSABET RIVER,I 290,NBI,MHD,42,21,8.492400169,71,36,52.2108,11,6,71200,9.1,0,N,TRUE,0,0,0,FALSE,Marlborough,MAPC
9,M06015,1TV,0.9402,HWY   BIGELOW ST,I 290 EB,NBI,MHD,42,21,40.03559875,71,35,50.1936,11,3,35000,23.5,17.1,7,TRUE,0,0,0,FALSE,Marlborough,MAPC
10,M06015,1TW,0.7996,HWY   BIGELOW ST,I 290 WB,NBI,MHD,42,21,40.59719849,71,35,50.7804,11,3,35000,23.5,17.1,7,TRUE,0,0,0,FALSE,Marlborough,MAPC
11,M06016,1TX,0.7407,I 495,I 290 EB,NBI,MHD,42,21,46.63800049,71,35,26.7072,12,3,72000,82.9,17.8,6,TRUE,0,0,0,FALSE,Marlborough,MAPC
12,M06016,1TY,0.7268,I 495,I 290 WB,NBI,MHD,42,21,47.21760178,71,35,27.3012,12,3,72000,82.9,17.8,6,TRUE,0,0,0,FALSE,Marlborough,MAPC
13,S20017,1U7,0.9365,ST 30 MAIN ST,I 495 NB,NBI,MHD,42,18,26.23320007,71,33,58.3092,11,3,45000,36,17.1,6,TRUE,0,0,0,FALSE,Southborough,MAPC
14,S20017,1U8,0.9201,ST 30 MAIN ST,I 495 SB,NBI,MHD,42,18,26.07480049,71,33,59.22,11,3,45000,34.7,17.1,7,TRUE,0,0,0,FALSE,Southborough,MAPC
15,S20018,1U9,0.7125,COMB  MDC AQUEDUCT & CSX,I 495 NB,NBI,MHD,42,18,49.2947998,71,34,3,11,3,77500,97.5,17.1,6,TRUE,0,0,0,FALSE,Southborough,MAPC
16,S20018,1UA,0.7442,COMB  MDC AQUEDUCT & CSX,I 495 SB,NBI,MHD,42,18,49.1867981,71,34,10,11,3,77500,102.1,17.1,6,TRUE,0,0,0,FALSE,Southborough,MAPC
17,S20019,1UB,0.8387,HWY   NORTHBORO RD,I 495 NB,NBI,MHD,42,18,53.96039963,71,34,9.5124,11,3,85000,35.4,17.1,7,TRUE,0,0,0,TRUE,Southborough,MAPC
18,S20019,1UC,0.8997,HWY   NORTHBORO RD,I 495 SB,NBI,MHD,42,18,53.62559891,71,34,10.344,11,3,85000,33.5,16.2,7,TRUE,0,0,0,FALSE,Southborough,MAPC
19,M21022,1UD,0.7959,ST109 MEDWAY RD,I 495 NB,NBI,MHD,42,8,50.67240143,71,29,5.442,11,3,40200,43,17.1,6,TRUE,0,0,0,FALSE,Milford,MAPC
20,M21022,1UE,0.9381,ST109 MEDWAY RD,I 495 SB,NBI,MHD,42,8,50.77320099,71,29,6.432,11,3,40200,43,17.1,7,TRUE,0,0,0,FALSE,Milford,MAPC
21,M21017,1UF,0.8115,RR    CSX (ABANDONED),I 495 SB,NBI,MHD,42,9,9.475199699,71,29,14.4348,11,3,30000,23.8,17.1,7,TRUE,0,0,0,FALSE,Milford,MAPC
22,M21017,1UG,0.8013,RR    CSX (ABANDONED),I 495 NB,NBI,MHD,42,9,9.849599838,71,29,13.6428,11,3,30000,23.8,17.1,7,TRUE,0,0,0,FALSE,Milford,MAPC
23,M21021,1UH,0.8051,ST 16 E MAIN ST,I 495 SB,NBI,MHD,42,9,15.93360043,71,29,19.6836,11,3,56000,29.3,17.4,6,TRUE,0,0,0,FALSE,Milford,MAPC
24,M21021,1UJ,0.7915,ST 16 E MAIN ST,I 495 NB,NBI,MHD,42,9,16.50600052,71,29,19.0644,11,3,56000,29.3,17.4,7,TRUE,0,0,0,FALSE,Milford,MAPC
25,M21020,1UK,0.7928,ST 85 CEDAR ST,I 495 NB,NBI,MHD,42,9,58.40639877,71,30,33.3756,11,3,65000,33.5,17.4,7,TRUE,0,0,0,FALSE,Milford,MAPC
26,M21020,1UL,0.7725,ST 85 CEDAR ST,I 495 SB,NBI,MHD,42,9,57.4776001,71,30,33.2208,11,3,65000,32.9,17.4,7,TRUE,0,0,0,FALSE,Milford,MAPC
27,M21018,1UM,0.7851,HWY   HAVEN ST,I 495 NB,NBI,MHD,42,10,53.87879944,71,31,41.0304,11,3,67000,26.2,17.1,6,TRUE,0,0,0,FALSE,Milford,MAPC
28,M21018,1UN,0.7892,HWY   HAVEN ST,I 495 SB,NBI,MHD,42,10,50.30400085,71,31,44.2704,11,3,67000,27.1,17.1,6,TRUE,0,0,0,FALSE,Milford,MAPC
29,H23008,1UP,0.6435,I  90,I 495 SB,NBI,MHD,42,15,59.3783989,71,33,54.6408,11,3,80000,65.5,17.7,7,TRUE,0,0,0,FALSE,Hopkinton,MAPC
30,H23011,1UQ,0.7468,HWY   W MAIN ST,I 495 NB,NBI,MHD,42,12,52.34759903,71,32,44.7684,11,4,77000,42.7,18.1,6,TRUE,0,0,0,TRUE,Hopkinton,MAPC
31,H23011,1UR,0.7618,HWY   W MAIN ST,I 495 SB,NBI,MHD,42,12,49.89239883,71,32,48.7572,11,4,98909,40.5,18.1,6,TRUE,0,0,0,TRUE,Hopkinton,MAPC
