OBJECTID,All_Bridges_2009April_BIN,AllBridges_2009April_Boat,All_Bridges_2009April_Health_Index,All_Bridges_2009April_Item_6A,All_Bridges_2009April_Item_7,AllBridges_2009April_Item___8_Bridge_Cat,AllBridges_2009April_Item___8_Owner,AllBridges_2009April_Item__16A,AllBridges_2009April_Item__16B,AllBridges_2009April_Item__16C,AllBridges_2009April_Item__17A,AllBridges_2009April_Item__17B,AllBridges_2009April_Item__17C,All_Bridges_2009April_Item_26,AllBridges_2009April_Item__28A,All_Bridges_2009April_Item_29,AllBridges_2009April_Item__49,AllBridges_2009April_Item__52,AllBridges_2009April_Item__58,AllBridges_2009April_Item_104,AllBridges_2009April_Posting_2_Axle,All_Bridges_2009April_Posting_3_Axle,AllBridges_2009April_Posting_5_Axle,All_Bridges_2009April_Struct_Def,All_Bridges_2009April_Town_Name,AllBridges_2009April_RPA
1,633,NN,0.814814815,COMB  MGH PKNG & MBTA,I  93 RAMP N-S,NBI,MHS,42,22,5.16,71,3,48.71,11,2,45981,180.7,11,7,TRUE,0,0,0,FALSE,Boston,MAPC
2,634,NN,0.814814815,COMB  NASHUA ST&MGH PKNG,I  93 RAMP N-S,NBI,MHS,42,21,59.78,71,3,48.82,11,2,45981,70.3,10.9,7,TRUE,0,0,0,FALSE,Boston,MAPC
3,6JN,NN,0.814814815,RR    MBTA,I  93 RAMP S-N,NBI,MHS,4,21,59.45,71,3,48.38,11,2,41222,203,11,7,TRUE,0,0,0,FALSE,Boston,MAPC
4,6JT,NN,0.814814815,HWY   NASHUA ST,I  93 RAMP S-N,NBI,MHS,42,21,58.02,71,3,51.48,11,3,11700,81.2,13.5,7,TRUE,0,0,0,FALSE,Boston,MAPC
5,1L4,NN,0.9124,I 495,US 20 EB/BSTN PST,NBI,MHD,42,20,28.3776,71,34,33.3768,14,3,36400,86.9,15,6,TRUE,0,0,0,FALSE,Marlborough,MAPC
6,1L5,NN,0.7884,I 495,US 20 WB/BSTN PST,NBI,MHD,42,20,28.3776,71,34,33.3768,14,3,34000,86.9,15,6,TRUE,0,0,0,FALSE,Marlborough,MAPC
7,A4K,NN,0.9988,ST  9 EB,ST  9 RAMP E,NBI,MHD,42,17,59,71,29,2,19,1,2700,101.2,9,8,TRUE,0,0,0,FALSE,Framingham,MAPC
8,1TU,NN,0.9741,WATER ASSABET RIVER,I 290,NBI,MHD,42,21,8.4924,71,36,52.2108,11,6,71200,9.1,0,N,TRUE,0,0,0,FALSE,Marlborough,MAPC
9,1TV,NN,0.9402,HWY   BIGELOW ST,I 290 EB,NBI,MHD,42,21,40.0356,71,35,50.1936,11,3,35000,23.5,17.1,7,TRUE,0,0,0,FALSE,Marlborough,MAPC
10,1TW,NN,0.7996,HWY   BIGELOW ST,I 290 WB,NBI,MHD,42,21,40.5972,71,35,50.7804,11,3,35000,23.5,17.1,7,TRUE,0,0,0,FALSE,Marlborough,MAPC
11,1TX,NN,0.7407,I 495,I 290 EB,NBI,MHD,42,21,46.638,71,35,26.7072,12,3,72000,82.9,17.8,6,TRUE,0,0,0,FALSE,Marlborough,MAPC
12,1TY,NN,0.7268,I 495,I 290 WB,NBI,MHD,42,21,47.2176,71,35,27.3012,12,3,72000,82.9,17.8,6,TRUE,0,0,0,FALSE,Marlborough,MAPC
13,1U7,NN,0.9365,ST 30 MAIN ST,I 495 NB,NBI,MHD,42,18,26.2332,71,33,58.3092,11,3,45000,36,17.1,6,TRUE,0,0,0,FALSE,Southborough,MAPC
14,1U8,NN,0.9201,ST 30 MAIN ST,I 495 SB,NBI,MHD,42,18,26.0748,71,33,59.22,11,3,45000,34.7,17.1,7,TRUE,0,0,0,FALSE,Southborough,MAPC
15,1U9,NN,0.7125,COMB  MDC AQUEDUCT & CSX,I 495 NB,NBI,MHD,42,18,49.2948,71,34,3,11,3,77500,97.5,17.1,6,TRUE,0,0,0,FALSE,Southborough,MAPC
16,1UA,NN,0.7331,COMB  MDC AQUEDUCT & CSX,I 495 SB,NBI,MHD,42,18,49.1868,71,34,10,11,3,85000,102.1,17.1,6,TRUE,0,0,0,FALSE,Southborough,MAPC
17,1UB,NN,0.8387,HWY   NORTHBORO RD,I 495 NB,NBI,MHD,42,18,53.9604,71,34,9.5124,11,3,90000,35.4,17.1,7,TRUE,0,0,0,TRUE,Southborough,MAPC
18,1UC,NN,0.8997,HWY   NORTHBORO RD,I 495 SB,NBI,MHD,42,18,53.6256,71,34,10.344,11,3,85000,33.5,16.2,7,TRUE,0,0,0,FALSE,Southborough,MAPC
19,1UD,NN,0.7957,ST109 MEDWAY RD,I 495 NB,NBI,MHD,42,8,50.6724,71,29,5.442,11,3,40200,43,17.1,6,TRUE,0,0,0,FALSE,Milford,MAPC
20,1UE,NN,0.9384,ST109 MEDWAY RD,I 495 SB,NBI,MHD,42,8,50.7732,71,29,6.432,11,3,40200,43,17.1,7,TRUE,0,0,0,FALSE,Milford,MAPC
21,1UF,NN,0.8115,RR    CSX (ABANDONED),I 495 SB,NBI,MHD,42,9,9.4752,71,29,14.4348,11,3,30000,23.8,17.1,7,TRUE,0,0,0,FALSE,Milford,MAPC
22,1UG,NN,0.8013,RR    CSX (ABANDONED),I 495 NB,NBI,MHD,42,9,9.8496,71,29,13.6428,11,3,30000,23.8,17.1,7,TRUE,0,0,0,FALSE,Milford,MAPC
23,1UH,NN,0.8053,ST 16 E MAIN ST,I 495 SB,NBI,MHD,42,9,15.9336,71,29,19.6836,11,3,35000,29.3,17.4,6,TRUE,0,0,0,FALSE,Milford,MAPC
24,1UJ,NN,0.79,ST 16 E MAIN ST,I 495 NB,NBI,MHD,42,9,16.506,71,29,19.0644,11,3,56000,29.3,17.4,7,TRUE,0,0,0,FALSE,Milford,MAPC
25,1UK,NN,0.7928,ST 85 CEDAR ST,I 495 NB,NBI,MHD,42,9,58.4064,71,30,33.3756,11,3,65000,33.5,17.4,7,TRUE,0,0,0,FALSE,Milford,MAPC
26,1UL,NN,0.7725,ST 85 CEDAR ST,I 495 SB,NBI,MHD,42,9,57.4776,71,30,33.2208,11,3,65000,32.9,17.4,7,TRUE,0,0,0,FALSE,Milford,MAPC
