OBJECTID,AllBridges_2013April_BDEPT,AllBridges_2013April_BIN,AllBridges_2013April_Health_Index,AllBridges_2013April_Item_6A,AllBridges_2013April_Item_7,AllBridges_2013April_Item_8_Bridge_Cat,AllBridges_2013April_Item_8_Owner,AllBridges_2013April_Item_16A,AllBridges_2013April_Item__16B,AllBridges_2013April_Item__16C,AllBridges_2013April_Item__17A,AllBridges_2013April_Item__17B,AllBridges_2013April_Item__17C,AllBridges_2013April_Item_26,AllBridges_2013April_Item_28A,AllBridges_2013April_Item_29,AllBridges_2013April_Item_49,AllBridges_2013April_Item_52,AllBridges_2013April_Item_58,AllBridges_2013April_Item_104,AllBridges_2013April_Posting_2_Axle,AllBridges_2013April_Posting_3_Axle,AllBridges_2013April_Posting_5_Axle,AllBridges_2013April_Struct_Def,AllBridges_2013April_Town_Name,AllBridges_2013April_RPA
1,A10011,AE2,1,COMB  MNUTMN BP & RED LN,ST  2,NBI,DOT,42,23,53.25,71,8,39.17,14,4,61800,38.02,26.48,8,True,0,0,0,False,Arlington,MAPC
2,A10021,2DM,0.6578,HWY   LAKE ST,ST  2,NBI,DOT,42,24,8.7696,71,9,24.444,12,8,78000,52.7,42.7,7,True,20,25,38,False,Arlington,MAPC
3,A10023,2DP,0.7211,HWY   DOW AVE,ST  2,NBI,DOT,42,24,54.4428,71,11,41.1324,12,8,67100,26.2,42.7,6,True,0,0,0,False,Arlington,MAPC
4,A10025,2DQ,0.6469,WATER ALEWIFE BROOK,ST  2 EB RAMP,NBI,DOT,42,23,52.2024,71,8,35.088,14,2,7700,16.5,12.2,5,True,0,0,0,False,Arlington,MAPC
5,A14020,4NY,0.8102,I  90,HWY   OAK ST,NBI,DOT,42,17,6.612,71,29,54.6936,16,2,3000,63.4,10.5,7,True,0,0,0,False,Ashland,MAPC
6,B04011,AY9,1,ST 62 BURLINGTON RD,US  3 SB,NBI,DOT,42,30,7.0596,71,14,37.2012,12,4,60000,40.25,24.51,7,True,0,0,0,False,Bedford,MAPC
7,B04011,AYA,1,ST 62 BURLINGTON RD,US  3 NB,NBI,DOT,42,30,7.0596,71,14,37.2012,12,4,60000,40.25,25.06,7,True,0,0,0,False,Bedford,MAPC
8,B04012,734,1,WATER SHAWSHEEN RIVER,US  3 NB,NBI,DOT,42,30,32.57,71,15,2.97,12,3,60000,30.4,23.9,7,True,0,0,0,False,Bedford,MAPC
9,B04012,737,1,WATER SHAWSHEEN RIVER,US  3 SB,NBI,DOT,42,30,32.56,71,15,2.95,12,3,60000,30.4,23.896,7,True,0,0,0,False,Bedford,MAPC
10,A02004,29A,0.9983,RR    MBTA/BMRR,ST 27 MAIN ST,634,DOT,42,27,36.0972,71,27,19.1664,14,3,13600,24.4,15.2,7,True,0,0,0,False,Acton,MAPC
