OBJECTID,BDEPT,BIN,AllBridges_2015April_Health_Index,Item_6A,Item_7,Item_8_Bridge_Cat,Item___8_Owner,AllBridges_2015April_Item_16A,AllBridges_2015April_Item__16B,AllBridges_2015April_Item__16C,AllBridges_2015April_Item__17A,AllBridges_2015April_Item__17B,AllBridges_2015April_Item__17C,AllBridges_2015April_Item_26,AllBridges_2015April_Item_28A,AllBridges_2015April_Item_29,AllBridges_2015April_Item_49,AllBridges_2015April_Item_52,AllBridges_2015April_Item_58,AllBridges_2015April_Item_104,AllBridges_2015April_Posting_2_Axle,AllBridges_2015April_Posting_3_Axle,AllBridges_2015April_Posting_5_Axle,AllBridges_2015April_Struct_Def,AllBridges_2015April_Town_Name,AllBridges_2015April_RPA
1,A02004,29A,0.9983,RR    MBTA/BMRR,ST 27 MAIN ST,634,DOT,42,27,36.24,71,27,16.06,14,3,13600,24.4,15.2,7,True,0,0,0,False,Acton,MAPC
2,N03006,29P,0.996,RR    CSX/MBTA,ST 27 N MAIN ST,634,DOT,42,17,8.163,71,20,53.0262,14,2,23000,25.3,19,7,True,0,0,0,False,Natick,MAPC
3,B06020,2AF,0.9972,I 495 NB,ST126 HARTFORD AVE,NBI,DOT,42,6,51.3684,71,27,55.8252,14,4,16200,36.6,15.9,7,True,0,0,0,False,Bellingham,MAPC
4,B06020,2AG,0.9994,I 495 SB,ST126 HARTFORD AVE,NBI,DOT,42,6,51.1632,71,27,58.968,14,4,16200,36.9,16.2,7,True,0,0,0,False,Bellingham,MAPC
5,B06005,2AH,0.8417,WATER CHARLES RIVER,ST126 N MAIN ST,NBI,DOT,42,5,39.4598,71,28,33.2904,14,2,18000,9.4,18.1,7,True,0,0,0,False,Bellingham,MAPC
6,M11003,2AJ,0.8349,WATER CHARLES RIVER,ST109 MAIN ST,NBI,DOT,42,10,52.107,71,19,21.6618,14,2,24700,20.1,15.4,6,True,0,0,0,False,Medfield,MAPC
7,B06021,2AL,0.9961,WATER CHARLES RIVER,I 495,NBI,DOT,42,6,26.9562,71,27,29.6742,11,6,78528,10.1,0,N,True,0,0,0,False,Bellingham,MAPC
8,M11013,2AN,0.8322,RR    BCRR,ST 27 N MEADOWS RD,NBI,DOT,42,11,41.2764,71,19,42.4662,14,2,8068,20.1,17.3,7,True,0,0,0,False,Medfield,MAPC
9,M11012,2AP,0.9534,WATER CHARLES RIVER,ST 27 N MEADOWS RD,NBI,DOT,42,12,35.8418,71,21,6.1884,14,2,8068,21.9,14.9,7,True,0,0,0,False,Medfield,MAPC
10,B06009,2AV,0.7676,RR    MBTA/CSX,ST126 N MAIN ST,634,DOT,42,5,27.5027,71,28,35.3639,14,2,16000,21.9,18.1,7,True,0,0,0,False,Bellingham,MAPC
