OBJECTID,allbridgesAug07_BDEPT,allbridgesAug07_BIN,allbridgesAug07_Health_Index,allbridgesAug07_Item_6A,allbridgesAug07_Item_7,allbridgesAug07_Item_8_Bridge_Cat,allbridgesAug07_Item_8_Owner,allbridgesAug07_Item_16A,allbridgesAug07_Item_16B,allbridgesAug07_Item_16C,allbridgesAug07_Item_17A,allbridgesAug07_Item_17B,allbridgesAug07_Item_17C,allbridgesAug07_Item_26,allbridgesAug07_Item_28A,allbridgesAug07_Item_29,allbridgesAug07_Item_49,allbridgesAug07_Item_52,allbridgesAug07_Item_58,allbridgesAug07_Item_104,allbridgesAug07_Posting_2_Axle,allbridgesAug07_Posting_3_Axle,allbridgesAug07_Posting_5_Axle,allbridgesAug07_Struct_Def,allbridgesAug07_Town_Name
1881,M06014,1TU,0.9741,WATER ASSABET RIVER,I 290,NBI,MHD,42,21,8.4924,71,36,52.2108,11,6,71200,9.1,0,N,TRUE,0,0,0,FALSE,Marlborough
1882,M06015,1TV,0.9402,HWY   BIGELOW ST,I 290 EB,NBI,MHD,42,21,40.0356,71,35,50.1936,11,3,35000,23.5,17.1,7,TRUE,0,0,0,FALSE,Marlborough
1883,M06015,1TW,0.7996,HWY   BIGELOW ST,I 290 WB,NBI,MHD,42,21,40.5972,71,35,50.7804,11,3,35000,23.5,17.1,7,TRUE,0,0,0,FALSE,Marlborough
1884,M06016,1TX,0.7407,I 495,I 290 EB,NBI,MHD,42,21,46.638,71,35,26.7072,12,3,70500,82.9,17.8,6,TRUE,0,0,0,FALSE,Marlborough
1885,M06016,1TY,0.7268,I 495,I 290 WB,NBI,MHD,42,21,47.2176,71,35,27.3012,12,3,70500,82.9,17.8,6,TRUE,0,0,0,FALSE,Marlborough
1893,S20017,1U7,0.9365,ST 30 MAIN ST,I 495 NB,NBI,MHD,42,18,26.2332,71,33,58.3092,11,3,45000,36,17.1,6,TRUE,0,0,0,FALSE,Southborough
1894,S20017,1U8,0.9201,ST 30 MAIN ST,I 495 SB,NBI,MHD,42,18,26.0748,71,33,59.22,11,3,45000,34.7,17.1,7,TRUE,0,0,0,FALSE,Southborough
1895,S20018,1U9,0.7125,COMB  MDC AQUEDUCT & CSX,I 495 NB,NBI,MHD,42,18,49.2948,71,34,3,11,3,77500,97.5,17.1,6,TRUE,0,0,0,FALSE,Southborough
1896,S20018,1UA,0.7442,COMB  MDC AQUEDUCT & CSX,I 495 SB,NBI,MHD,42,18,49.1868,71,34,10,11,3,77500,102.1,17.1,6,TRUE,0,0,0,FALSE,Southborough
1897,S20019,1UB,0.8387,HWY   NORTHBORO RD,I 495 NB,NBI,MHD,42,18,53.9604,71,34,9.5124,11,3,85000,35.4,17.1,7,TRUE,0,0,0,TRUE,Southborough
