OBJECTID,AllBridges_2011April_BDEPT,AllBridges_2011April_BIN,AllBridges_2011April_Health_Index,AllBridges_2011April_Item_6A,AllBridges_2011April_Item_7,AllBridges_2011April_Item___8_Bridge_Cat,AllBridges_2011April_Item___8_Owner,AllBridges_2011April_Item__16A,AllBridges_2011April_Item__16B,AllBridges_2011April_Item__16C,AllBridges_2011April_Item__17A,AllBridges_2011April_Item__17B,AllBridges_2011April_Item__17C,AllBridges_2011April_Item_26,AllBridges_2011April_Item__28A,AllBridges_2011April_Item_29,AllBridges_2011April_Item__49,AllBridges_2011April_Item__52,AllBridges_2011April_Item__58,AllBridges_2011April_Item_104,AllBridges_2011April_Posting_2_Axle,AllBridges_2011April_Posting_3_Axle,AllBridges_2011April_Posting_5_Axle,AllBridges_2011April_Struct_Def,AllBridges_2011April_Town_Name,AllBridges_2011April_RPA
1,B16589,584,1,OTHER RELIEF,ST  1 A/SB,NBI,DOT,0,0,0,0,0,0,14,1,7660,141.7,7.9,7,True,0,0,0,True,Boston,MAPC
2,B16588,585,0.9974,OTHER RELIEF,I  90 WB & RP1ASB,NBI,DOT,42,22,34.20999908,71,1,44.2,11,3,11129,45.6,17.7,7,True,0,0,0,True,Boston,MAPC
3,B16588,586,0.777777778,ST  1 A/NB & RP1ANB,I  90 WB,NBI,DOT,42,22,34.20999908,71,1,44.2,11,3,11129,94.2,18.6,7,True,0,0,0,True,Boston,MAPC
4,B16235,5JK,1,OTHER RELIEF,ST  1 A/SB,NBI,DOT,42,22,30.63999939,71,1,48.55,14,2,20900,10.9,13.9,8,True,0,0,0,False,Boston,MAPC
5,B16620,630,0.9992,OTHER RELIEF,I  93 RAMP N-S,NBI,DOT,42,21,59.09999847,71,3,53.64,11,1,45981,58.5,12.6,7,True,0,0,0,False,Boston,MAPC
6,B16606,633,0.9904,COMB  MGH PKNG & MBTA,I  93 RAMP N-S,NBI,DOT,42,22,5.159999847,71,3,48.71,11,2,45981,180.7,14.6,7,True,0,0,0,False,Boston,MAPC
7,B16606,634,1,COMB  NASHUA ST&MGH PKNG,I  93 RAMP N-S,NBI,DOT,42,21,59.77999878,71,3,48.82,11,2,45981,70.3,13.4,7,True,0,0,0,False,Boston,MAPC
8,B16619,68U,1,OTHER RELIEF,I  93 RAMP S-N,NBI,DOT,42,21,58.13999939,71,3,55.5,11,1,0,62.2,10.1,7,True,0,0,0,False,Boston,MAPC
9,B16691,68V,1,HWY   NASHUA ST,I  93 RAMP LC-N,NBI,DOT,42,21,58.02000046,71,3,55.5,11,1,8756,135.5,7.9,7,True,0,0,0,False,Boston,MAPC
10,W11001,6G2,1,WATER SUDBURY RIVER,US 20 BOSTN PST RD,NBI,DOT,42,21,47.43999863,71,22,30.78,14,2,30300,34.2,12,7,True,0,0,0,False,Wayland,MAPC
11,B16620,6JL,0.9996,I  93 RAMP LC-S TUNNEL,I  93 RAMP N-S,NBI,DOT,42,21,59.00999832,71,3,54.36,11,1,45981,29.6,12.2,7,True,0,0,0,False,Boston,MAPC
12,B16607,6JN,1,RR    MBTA,I  93 RAMP S-N,NBI,DOT,42,22,2.251199961,71,3,46.4832,11,2,61800,203,11,7,True,0,0,0,False,Boston,MAPC
13,B16607,6JT,1,HWY   NASHUA ST,I  93 RAMP S-N,NBI,DOT,42,21,58.02000046,71,3,51.48,11,3,11700,81.2,13.5,7,True,0,0,0,False,Boston,MAPC
14,B16691,6K2,1,I  93 RAMP S-N BOAT,I  93 RAMP LC-N,NBI,DOT,42,21,59.06999969,71,4,0.52,01,1,8756,120.7,9.1,7,True,0,0,0,False,Boston,MAPC
15,M06009,1L4,0.9124,I 495,US 20 EB/BSTN PST,NBI,DOT,42,20,28.37759972,71,34,33.3768,14,3,36400,86.9,15,6,True,0,0,0,False,Marlborough,MAPC
16,M06009,1L5,0.7611,I 495,US 20 WB/BSTN PST,NBI,DOT,42,20,28.37759972,71,34,33.3768,14,3,34000,86.9,15,5,True,0,0,0,False,Marlborough,MAPC
17,F07068,A4K,0.9988,ST  9 EB,ST  9 RAMP E,NBI,DOT,42,17,59,71,29,2,19,1,2700,101.2,9,8,True,0,0,0,False,Framingham,MAPC
18,M06014,1TU,0.9741,WATER ASSABET RIVER,I 290,NBI,DOT,42,21,8.492400169,71,36,52.2108,11,6,71200,9.1,0,N,True,0,0,0,False,Marlborough,MAPC
19,M06015,1TV,0.7768,HWY   BIGELOW ST,I 290 EB,NBI,DOT,42,21,40.03559875,71,35,50.1936,11,3,40000,23.5,17.1,7,True,0,0,0,False,Marlborough,MAPC
20,M06015,1TW,0.7945,HWY   BIGELOW ST,I 290 WB,NBI,DOT,42,21,40.59719849,71,35,50.7804,11,3,40000,23.5,17.1,7,True,0,0,0,False,Marlborough,MAPC
21,M06016,1TX,0.753,I 495,I 290 EB,NBI,DOT,42,21,46.63800049,71,35,26.7072,12,3,40000,82.9,17.8,6,True,0,0,0,False,Marlborough,MAPC
22,M06016,1TY,0.7268,I 495,I 290 WB,NBI,DOT,42,21,47.21760178,71,35,27.3012,12,3,72000,82.9,17.8,6,True,0,0,0,False,Marlborough,MAPC
