OBJECTID,AllBridges_2013April_BDEPT,AllBridges_2013April_BIN,AllBridges_2013April_FHWA_Record,AllBridges_2013April_Health_Index,AllBridges_2013April_Item___6A,AllBridges_2013April_Item___7,AllBridges_2013April_Item___8_Bridge_Cat,AllBridges_2013April_Item___8_Owner,AllBridges_2013April_Item__16A,AllBridges_2013April_Item__16B,AllBridges_2013April_Item__16C,AllBridges_2013April_Item__17A,AllBridges_2013April_Item__17B,AllBridges_2013April_Item__17C,AllBridges_2013April_Item__26,AllBridges_2013April_Item__28A,AllBridges_2013April_Item__29,AllBridges_2013April_Item__30,AllBridges_2013April_Item__32,AllBridges_2013April_Item__34,AllBridges_2013April_Item__49,AllBridges_2013April_Item__52,AllBridges_2013April_Item__58,AllBridges_2013April_Item_104,AllBridges_2013April_Posting_2_Axle,AllBridges_2013April_Posting_3_Axle,AllBridges_2013April_Posting_5_Axle,AllBridges_2013April_Struct_Def,AllBridges_2013April_Town_Name,AllBridges_2013April_RPA
1,B16097,4VE,True,0.777777778,COMB  AMTRAK/MBTA & ORNG,HWY   BOYLSTON ST,NBI,MBT,42,19,0.3432,71,6,15.5988,17,2,3300,1997,7.9,13,32.9,17.1,7,False,0,0,0,False,Boston,MAPC
2,B16098,4VF,True,0.777777778,COMB  AMTRAK/MBTA & ORNG,HWY   GREEN ST,NBI,MBT,42,18,37.8144,71,6,26.838,17,3,3300,1997,7.9,4,30.8,15.2,7,False,0,0,0,False,Boston,MAPC
3,B16099,4VG,True,0.777777778,COMB  AMTRAK/MBTA & ORNG,HWY   WILLIAMS ST,NBI,MBT,42,18,26.2188,71,6,34.1568,19,2,700,1997,7.9,5,29.9,12.9,7,False,0,0,0,False,Boston,MAPC
4,B16100,4VH,True,0.777777778,COMB  AMTRAK/MBTA & ORNG,HWY   MCBRIDE ST,NBI,MBT,42,18,20.9304,71,6,37.6056,17,2,3300,1997,7.9,6,29.9,12.9,7,False,0,0,0,False,Boston,MAPC
5,B16101,4VJ,True,0.777777778,COMB  AMTRAK/MBTA & ORNG,HWY   MOR-WASH ST,NBI,MBT,42,18,5.4576,71,6,48.1032,19,2,111,1997,9.8,0,48.8,12.8,7,False,0,0,0,False,Boston,MAPC
6,B16105,390,True,0.8165,RR    AMTRAK/MBTA,HWY   BLAKEMORE ST,NBI,MUN,42,17,7.2996,71,7,11.388,19,2,9900,2013,7.9,0,22.9,12.5,6,False,0,0,0,False,Boston,MAPC
7,A10001,2ML,True,0.8458,COMB  MINUTMN BP & BROOK,HWY   PARK AVE,634,DOT,42,25,31.116,71,10,57.5328,16,2,8660,2011,9.1,30,12.1,13,7,False,0,0,0,False,Arlington,MAPC
8,A10004,2MM,True,0.8153,OTHER MINUTMN BP & BROOK,HWY   LOWELL ST,634,DOT,42,25,31.4904,71,10,51.528,17,2,5300,2011,9.2,52,17,11.7,7,False,0,0,0,False,Arlington,MAPC
9,A10008,4D3,True,0.6537,WATER MYSTIC RIVER,HWY   RIVER ST,NBI,DOT,42,24,55.3464,71,8,19.896,17,2,3000,2011,11.3,0,18.3,18.3,N,False,0,0,0,False,Arlington,MAPC
10,A10009,4D2,True,0.8016,WATER MYSTIC RIVER,ST 60 MEDFORD ST,NBI,DOT,42,25,14.5452,71,8,36.1932,14,4,28000,2011,10.7,0,15.2,24.5,N,False,0,0,0,False,Arlington,MAPC
