OBJECTID,AllBridges_2014April_BDEPT,AllBridges_2014April_BIN,AllBridges_2014April_Health_Index,AllBridges_2014April_Item_6A,AllBridges_2014April_Item_7,AllBridges_2014April_Item_8_Bridge_Cat,AllBridges_2014April_Item_8_Owner,AllBridges_2014April_Item_16A,AllBridges_2014April_Item_16B,AllBridges_2014April_Item_16C,AllBridges_2014April_Item__17A,AllBridges_2014April_Item__17B,AllBridges_2014April_Item__17C,AllBridges_2014April_Item_26,AllBridges_2014April_Item_28A,AllBridges_2014April_Item_29,AllBridges_2014April_Item_49,AllBridges_2014April_Item_52,AllBridges_2014April_Item_58,AllBridges_2014April_Item_104,AllBridges_2014April_Posting_2_Axle,AllBridges_2014April_Posting_3_Axle,AllBridges_2014April_Posting_5_Axle,AllBridges_2014April_Struct_Def,AllBridges_2014April_Town_Name,AllBridges_2014April_RPA
1,B16590,57V,0.777777778,I  90 WB & SR-14,ST  1 A/RP E-1ASB,NBI,MPA,42,22,25.3488,71,1,47.5427,14,2,0,98.2,9.8,7,True,0,0,0,False,Boston,MAPC
2,B16589,583,0.8598,OTHER RELIEF,ST  1 A/SB,NBI,DOT,42,22,27.9335,71,1,51.6575,14,1,14400,141.7,7.9,7,True,0,0,0,False,Boston,MAPC
3,B16589,584,1,OTHER RELIEF,ST  1 A/SB,NBI,DOT,42,22,31.476,71,1,48.0251,14,1,14400,141.7,7.9,7,True,0,0,0,False,Boston,MAPC
4,B16588,585,0.9974,OTHER RELIEF,I  90 WB & RP1ASB,NBI,DOT,42,22,33.6324,71,1,44.994,11,3,11129,45.6,17.7,7,True,0,0,0,False,Boston,MAPC
5,B16588,586,0.8398,ST  1 A/NB & RP1ANB,I  90 WB,NBI,DOT,42,22,31.5552,71,1,46.3655,11,3,11129,94.2,18.6,7,True,0,0,0,False,Boston,MAPC
6,B16585,58N,0.777777778,I  90 EB,ST  1 A/& RP E-1AN,NBI,MPA,42,22,13.3355,71,1,35.0472,17,3,0,159.4,17,7,True,0,0,0,False,Boston,MAPC
7,B16235,5JK,1,OTHER RELIEF,ST  1 A/SB,NBI,DOT,42,22,26.2884,71,1,53.7995,14,2,39800,10.9,13.9,8,True,0,0,0,False,Boston,MAPC
8,B16596,5VR,0.9951,COMB  HAUL RD & CSX,HWY   D ST,NBI,DOT,42,20,48.6852,71,2,29.1803,17,4,17360,45.2,31.7,7,True,0,0,0,False,Boston,MAPC
9,B16583,5VU,0.978,HWY   W SERVICE RD EXT,HWY   SUMMER ST,NBI,DOT,42,20,56.7348,71,2,51.2915,14,4,22630,69,30.5,7,True,0,0,0,False,Boston,MAPC
10,B16620,630,0.9993,OTHER RELIEF,I  93 RAMP N-S,NBI,DOT,42,21,58.6979,71,3,52.7615,11,2,54300,58.5,12.6,7,True,0,0,0,False,Boston,MAPC
