OBJECTID,BDEPT,BIN,AllBridges_2015April_FHWA_Record,AllBridges_2015April_Health_Index,Item___6A,Item___7,Item___8_Bridge_Cat,Item___8_Owner,AllBridges_2015April_Item__16A,AllBridges_2015April_Item__16B,AllBridges_2015April_Item__16C,AllBridges_2015April_Item__17A,AllBridges_2015April_Item__17B,AllBridges_2015April_Item__17C,AllBridges_2015April_Item__26,AllBridges_2015April_Item__28A,AllBridges_2015April_Item__29,AllBridges_2015April_Item__30,AllBridges_2015April_Item__32,AllBridges_2015April_Item__34,AllBridges_2015April_Item__49,AllBridges_2015April_Item__52,AllBridges_2015April_Item__58,AllBridges_2015April_Item_104,AllBridges_2015April_Posting_2_Axle,AllBridges_2015April_Posting_3_Axle,AllBridges_2015April_Posting_5_Axle,AllBridges_2015April_Struct_Def,AllBridges_2015April_Town_Name,AllBridges_2015April_RPA
1,M06010,298,True,0.9625,I 495 SB,HWY   ELM ST,NBI,DOT,42,20,50.247,71,34,33.2436,17,2,10400,2013,12.2,5,23.9,15.2,5,False,0,0,0,False,Marlborough,MAPC
2,M06010,299,True,0.7575,I 495 NB,HWY   ELM ST,NBI,DOT,42,20,50.5031,71,34,30.8963,17,2,10400,2013,12.2,5,23.9,15.2,6,False,0,0,0,False,Marlborough,MAPC
3,A02004,29A,True,0.9983,RR    MBTA/BMRR,ST 27 MAIN ST,634,DOT,42,27,36.24,71,27,16.06,14,3,13600,2014,12.2,20,24.4,15.2,7,True,0,0,0,False,Acton,MAPC
4,A14013,29C,True,0.9952,RR    CSX,HWY   HOWE ST,634,DOT,42,15,54.0539,71,29,53.07,19,2,600,2014,10.7,24,27.7,13,6,False,0,0,0,False,Ashland,MAPC
5,F07015,29G,True,0.5064,RR    CSX/MBTA,HWY   WINTER ST,634,DOT,42,16,28.3578,71,26,11.9508,16,2,7000,2013,8.5,0,22.6,11.1,6,False,12,14,18,True,Framingham,MAPC
6,F07016,29H,True,0.9261,RR    CSX/MBTA,HWY   FOUNTAIN ST,634,DOT,42,16,30.0684,71,25,36.5736,17,2,14100,2013,8.5,0,26.9,11.3,8,False,0,0,0,False,Framingham,MAPC
7,F07018,29J,True,0.6949,RR    CSX,HWY   MT WAYTE AVE,634,DOT,42,17,19.9602,71,25,52.6362,17,2,10000,2014,12.2,0,36.3,15.8,5,False,20,25,36,True,Framingham,MAPC
8,N03012,29L,True,0.929,RR    CSX/MBTA,HWY   BODEN LN,634,DOT,42,16,59.4114,71,23,28.7622,17,1,1300,2013,6.1,20,20.4,6.9,7,False,6,6,6,False,Natick,MAPC
9,N03008,29M,True,0.8585,RR    CSX/MBTA,HWY   WASHNGTON AV,634,DOT,42,17,5.8308,71,21,10.296,17,2,4500,2014,7.9,9,20.5,12.5,7,False,0,0,0,False,Natick,MAPC
10,N03006,29P,True,0.996,RR    CSX/MBTA,ST 27 N MAIN ST,634,DOT,42,17,8.163,71,20,53.0262,14,2,23000,2014,13.4,35,25.3,19,7,True,0,0,0,False,Natick,MAPC
11,N03004,29R,True,0.9816,RR    CSX/MBTA,HWY   WASHNGTON ST,634,DOT,42,17,8.9808,71,20,47.6016,19,2,1300,2014,8.5,11,27.7,13,6,False,0,0,0,False,Natick,MAPC
12,N03003,29T,True,0.702,RR    CSX/MBTA,HWY   MARION ST,634,DOT,42,17,13.9986,71,20,16.4796,16,2,6100,2012,6.1,44,27.7,9.9,1,False,10,14,20,True,Natick,MAPC
13,N03010,29U,True,0.5683,RR    CSX/MBTA,HWY   SPEEN ST,634,DOT,42,17,1.7226,71,22,31.3242,16,3,16400,2015,12.2,12,32.9,16.3,4,False,0,0,0,True,Natick,MAPC
14,N03011,29V,True,0.5379,RR    CSX/MBTA,HWY   MILL ST,634,DOT,42,17,0.8484,71,22,51.7332,17,2,7930,2013,9.1,0,21,12.3,7,False,0,0,0,False,Natick,MAPC
15,N03009,29W,True,1,RR    ABANDONED CSX,HWY   COCHTUATE ST,634,DOT,42,17,9.7974,71,21,0.7416,19,2,1300,2014,7.3,18,11.6,11.1,7,False,0,0,0,False,Natick,MAPC
16,S31002,29Y,True,0.962,RR    BMRR (ABANDONED),HWY   LANDHAM RD,634,DOT,42,21,37.5444,71,24,6.4224,16,2,10700,2013,9.1,10,11.9,12.1,7,False,0,0,0,False,Sudbury,MAPC
17,B06006,2A1,True,0.9753,WATER PETERS RIVER,HWY   WRENTHAM RD,NBI,MUN,42,1,32.052,71,29,11.3706,16,2,4000,2014,10.4,50,12.2,15.2,6,False,0,0,0,False,Bellingham,MAPC
18,F08010,2A2,True,1,WATER CHARLES RIVER,HWY   POND ST,NBI,MUN,42,8,17.5452,71,25,52.1106,16,2,17100,2014,12.2,7,10.1,16.1,7,False,0,0,0,False,Franklin,MAPC
19,F08008,2A3,True,0.7289,WATER CHARLES RIVER,HWY   LINCOLN ST,NBI,MUN,42,8,17.988,71,23,54.1139,16,2,3000,2014,8.5,0,10.7,9.1,N,False,0,0,0,False,Franklin,MAPC
20,M11002,2A4,True,0.8703,WATER CHARLES RIVER,HWY   BRIDGE ST,NBI,MUN,42,11,19.9032,71,19,59.304,16,2,11600,2013,12.2,48,46.9,15.2,7,False,0,0,0,False,Medfield,MAPC
21,M13008,2A5,True,0.9996,WATER CHICKEN BROOK,HWY   WINTHROP ST,NBI,MUN,42,9,7.542,71,25,33.5352,16,2,9100,2014,9.1,40,7.3,11.1,6,False,0,0,0,False,Medway,MAPC
22,B06002,2A7,True,0.9927,WATER CHARLES RIVER,HWY   MAPLE ST,NBI,MUN,42,7,10.3728,71,27,12.276,16,2,8320,2014,6.7,0,12.2,11,7,False,0,0,0,False,Bellingham,MAPC
23,B06023,2A8,True,0.9984,WATER CHARLES RIVER,HWY   PLYMOUTH RD,NBI,MUN,42,7,22.3284,71,26,51.8568,19,2,900,2014,8.8,0,12.5,10.3,6,False,0,0,0,False,Bellingham,MAPC
24,F08009,2AA,True,0.6497,WATER CHARLES RIVER,HWY   ELM ST,NBI,MUN,42,8,11.4678,71,25,6.6432,19,2,1300,2014,5.5,0,10.4,7.6,N,False,0,0,0,False,Franklin,MAPC
25,F08020,2AB,True,0.9747,WATER MINE BROOK,HWY   GROVE ST,NBI,MUN,42,3,41.2992,71,25,41.0622,16,2,7600,2001,10.4,0,17.1,11.7,6,False,0,0,0,False,Franklin,MAPC
26,M11005,2AC,True,0.9863,WATER CHARLES RIVER,HWY   ORCHARD ST,NBI,MUN,42,9,27.4962,71,19,53.133,19,2,1820,2014,10.4,0,17.7,13,6,False,0,0,0,False,Medfield,MAPC
27,B06020,2AF,True,0.9972,I 495 NB,ST126 HARTFORD AVE,NBI,DOT,42,6,51.3684,71,27,55.8252,14,4,16200,2014,13.4,29,36.6,15.9,7,True,0,0,0,False,Bellingham,MAPC
28,B06020,2AG,True,0.9994,I 495 SB,ST126 HARTFORD AVE,NBI,DOT,42,6,51.1632,71,27,58.968,14,4,16200,2014,13.4,29,36.9,16.2,7,True,0,0,0,False,Bellingham,MAPC
29,B06005,2AH,True,0.8417,WATER CHARLES RIVER,ST126 N MAIN ST,NBI,DOT,42,5,39.4598,71,28,33.2904,14,2,18000,2015,13.4,0,9.4,18.1,7,True,0,0,0,False,Bellingham,MAPC
30,M11003,2AJ,True,0.8349,WATER CHARLES RIVER,ST109 MAIN ST,NBI,DOT,42,10,52.107,71,19,21.6618,14,2,24700,2014,13.4,2,20.1,15.4,6,True,0,0,0,False,Medfield,MAPC
31,B06021,2AL,True,0.9961,WATER CHARLES RIVER,I 495,NBI,DOT,42,6,26.9562,71,27,29.6742,11,6,78528,2009,15.2,40,10.1,0,N,True,0,0,0,False,Bellingham,MAPC
