OBJECTID,AllBridges_2016April_BDEPT,AllBridges_2016April_BIN,AllBridges_2016April_Health_Index,AllBridges_2016April_Item_6A,AllBridges_2016April_Item_7,AllBridges_2016April_Item_8,AllBridges_2016April_Item_8_Bridge_Cat,AllBridges_2016April_Item_8_Owner,AllBridges_2016April_Item_16A,AllBridges_2016April_Item_16B,AllBridges_2016April_Item_16C,AllBridges_2016April_Item_17A,AllBridges_2016April_Item_17B,AllBridges_2016April_Item_17C,AllBridges_2016April_Item_26,AllBridges_2016April_Item_28A,AllBridges_2016April_Item_29,AllBridges_2016April_Item_49,AllBridges_2016April_Item_51,AllBridges_2016April_Item_52,AllBridges_2016April_Item_58,AllBridges_2016April_Item_104,AllBridges_2016April_Posting_2_Axle,AllBridges_2016April_Posting_3_Axle,AllBridges_2016April_Posting_5_Axle,AllBridges_2016April_Struct_Def,AllBridges_2016April_Town_Name
1880,M06014,1TU,0.9741,WATER ASSABET RIVER,I 290,M060141TUDOTNBI,NBI,DOT,42,21,8.9927,71,36,50.2703,11,6,74680,9.1,0,0,N,TRUE,0,0,0,FALSE,Marlborough
1881,M06015,1TV,0.7862,HWY   BIGELOW ST,I 290 EB,M060151TVDOTNBI,NBI,DOT,42,21,39.6216,71,35,48.5267,11,3,37329,23.5,15.5,17.1,6,TRUE,0,0,0,FALSE,Marlborough
1882,M06015,1TW,0.7845,HWY   BIGELOW ST,I 290 WB,M060151TWDOTNBI,NBI,DOT,42,21,40.8342,71,35,49.383,11,3,35967,23.5,15.5,17.1,7,TRUE,0,0,0,FALSE,Marlborough
1883,M06016,1TX,0.9758,I 495,I 290 EB,M060161TXDOTNBI,NBI,DOT,42,21,45.8495,71,35,24.1331,12,2,25000,82.9,16.3,17.8,6,TRUE,0,0,0,FALSE,Marlborough
1884,M06016,1TY,0.9936,I 495,I 290 WB,M060161TYDOTNBI,NBI,DOT,42,21,47.0771,71,35,25.4148,12,2,36600,82.9,12.3,17.7,6,TRUE,0,0,0,FALSE,Marlborough
1892,S20017,1U7,0.989,ST 30 MAIN ST,I 495 NB,S200171U7DOTNBI,NBI,DOT,42,18,25.833,71,33,55.3104,11,3,50000,36,15.2,17.1,7,TRUE,0,0,0,FALSE,Southborough
1893,S20017,1U8,0.9536,ST 30 MAIN ST,I 495 SB,S200171U8DOTNBI,NBI,DOT,42,18,25.6248,71,33,57.2646,11,3,41834,34.7,15.2,17.1,7,TRUE,0,0,0,FALSE,Southborough
1894,S20018,1U9,0.9986,COMB  MDC AQUEDUCT & CSX,I 495 NB,S200181U9DOTNBI,NBI,DOT,42,18,48.6324,71,34,3.8495,11,3,34758,97.5,15.2,17.1,5,TRUE,0,0,0,FALSE,Southborough
1895,S20018,1UA,0.9937,COMB  MDC AQUEDUCT & CSX,I 495 SB,S200181UADOTNBI,NBI,DOT,42,18,48.2327,71,34,5.7036,11,3,37000,102.1,15.2,17.1,5,TRUE,0,0,0,FALSE,Southborough
1896,S20019,1UB,0.9574,HWY   NORTHBORO RD,I 495 NB,S200191UBDOTNBI,NBI,DOT,42,18,54.216,71,34,6.2214,11,3,42442,35.4,15.2,17.1,6,TRUE,0,0,0,FALSE,Southborough
