OBJECTID,city_num,RPA,Town_Name,All_Fatalities_2004,All_Fatalities_2005,All_Fatalities_2006,All_Fatalities_2007,All_Fatalities_2008,All_Fatalities_2009,All_Fatalities_2010,All_Fatalities_2011,All_Fatalities_2012,All_Fatalities_2013
1,2,MAPC,Acton,0,0,0,1,3,0,0,1,0,0
2,10,MAPC,Arlington,0,0,0,2,0,0,0,0,0,1
3,14,MAPC,Ashland,1,1,0,1,2,1,0,1,0,2
4,23,MAPC,Bedford,0,0,2,2,1,1,1,0,0,1
5,25,MAPC,Bellingham,3,1,1,3,1,5,0,1,1,2
6,26,MAPC,Belmont,1,1,0,1,0,1,0,0,0,0
7,30,MAPC,Beverly,1,1,0,1,1,1,1,0,2,1
8,34,MAPC,Bolton,2,0,1,1,1,3,1,0,1,0
9,35,MAPC,Boston,25,18,24,31,26,16,18,18,29,19
10,37,MAPC,Boxborough,0,0,0,1,0,0,1,1,0,1
11,40,MAPC,Braintree,4,0,1,2,1,1,2,0,4,1
12,46,MAPC,Brookline,1,1,1,0,1,0,0,1,1,1
13,48,MAPC,Burlington,0,0,2,2,0,3,0,3,2,0
14,49,MAPC,Cambridge,3,4,2,2,4,0,1,2,2,3
15,50,MAPC,Canton,4,0,1,2,2,1,2,0,3,3
16,51,MAPC,Carlisle,0,0,0,0,0,0,0,0,0,0
17,57,MAPC,Chelsea,2,3,2,2,1,1,3,3,0,1
18,65,MAPC,Cohasset,0,0,0,0,1,0,1,0,1,0
19,67,MAPC,Concord,0,0,1,0,0,1,1,0,1,0
20,71,MAPC,Danvers,0,0,2,2,2,5,0,3,2,1
21,73,MAPC,Dedham,1,0,0,1,0,1,0,0,1,0
22,78,MAPC,Dover,1,0,2,2,0,0,1,0,0,0
23,82,MAPC,Duxbury,1,0,1,1,0,0,0,1,0,0
24,92,MAPC,Essex,0,0,0,0,0,0,0,0,0,0
25,93,MAPC,Everett,1,0,2,0,2,0,0,0,3,1
26,99,MAPC,Foxborough,4,2,2,3,2,1,0,1,4,1
27,100,MAPC,Framingham,1,6,1,2,0,1,5,5,4,1
28,101,MAPC,Franklin,1,1,1,2,3,1,0,1,2,3
29,107,MAPC,Gloucester,5,2,0,0,1,0,0,0,4,0
30,119,MAPC,Hamilton,1,0,0,0,0,0,0,0,0,0
31,122,MAPC,Hanover,3,2,0,1,2,1,0,2,1,1
32,131,MAPC,Hingham,2,2,2,1,4,0,0,2,1,1
33,133,MAPC,Holbrook,0,0,1,1,0,1,0,2,0,0
34,136,MAPC,Holliston,0,1,1,0,0,0,0,1,0,0
35,139,MAPC,Hopkinton,2,2,3,0,0,3,0,1,1,4
36,141,MAPC,Hudson,0,2,0,1,1,0,1,3,0,0
37,142,MAPC,Hull,0,0,0,0,0,0,0,0,0,0
38,144,MAPC,Ipswich,1,0,0,0,0,1,0,0,0,1
39,155,MAPC,Lexington,3,0,4,4,3,2,3,2,1,0
40,157,MAPC,Lincoln,0,0,0,0,1,0,2,0,0,0
41,158,MAPC,Littleton,1,1,1,0,1,3,0,0,3,0
42,163,MAPC,Lynn,3,4,4,3,5,4,4,2,5,5
43,164,MAPC,Lynnfield,0,0,0,1,2,0,0,4,0,1
44,165,MAPC,Malden,1,2,0,2,5,3,4,0,2,2
45,166,MAPC,Manchester,4,0,0,0,0,0,0,0,0,0
46,168,MAPC,Marblehead,0,0,0,0,0,1,1,0,1,0
47,170,MAPC,Marlborough,2,1,1,3,4,1,0,3,2,0
48,171,MAPC,Marshfield,3,4,1,2,3,1,2,2,1,0
49,174,MAPC,Maynard,0,0,0,0,0,0,0,0,0,0
50,175,MAPC,Medfield,1,0,1,0,0,2,0,0,0,0
51,176,MAPC,Medford,1,4,1,2,1,3,1,0,2,2
52,177,MAPC,Medway,2,1,1,0,0,1,1,0,1,0
53,178,MAPC,Melrose,0,1,0,2,1,0,0,0,0,2
54,184,MAPC,Middleton,0,0,0,0,0,1,0,0,0,0
55,185,MAPC,Milford,1,1,1,2,1,0,1,4,0,0
56,187,MAPC,Millis,0,1,0,1,0,1,1,2,0,0
57,189,MAPC,Milton,4,4,4,2,0,0,0,0,4,3
58,196,MAPC,Nahant,0,0,0,0,0,0,0,0,0,0
59,198,MAPC,Natick,0,5,1,0,0,0,2,3,0,0
60,199,MAPC,Needham,0,0,2,1,0,1,1,0,0,0
61,207,MAPC,Newton,2,1,3,3,2,0,4,1,3,2
62,208,MAPC,Norfolk,0,0,1,1,0,0,0,0,0,1
63,213,MAPC,North Reading,0,0,1,1,0,1,0,1,0,0
64,219,MAPC,Norwell,0,3,0,0,1,2,2,1,0,3
65,220,MAPC,Norwood,3,0,0,2,0,0,3,3,0,3
66,229,MAPC,Peabody,4,3,3,1,3,1,1,3,3,4
67,231,MAPC/OCPC,Pembroke,1,0,0,2,0,1,2,1,0,0
68,243,MAPC,Quincy,6,4,8,1,5,4,2,4,7,1
69,244,MAPC,Randolph,0,3,4,2,2,1,2,1,4,1
70,246,MAPC,Reading,1,0,0,0,2,3,1,1,0,1
71,248,MAPC,Revere,3,5,4,6,2,4,5,3,0,3
72,251,MAPC,Rockland,3,1,1,0,0,3,1,0,1,2
73,252,MAPC,Rockport,0,0,0,0,0,0,0,0,0,0
74,258,MAPC,Salem,3,1,2,2,2,3,1,3,4,2
75,262,MAPC,Saugus,3,2,3,2,1,5,2,3,1,1
76,264,MAPC,Scituate,1,0,1,2,0,0,2,0,1,0
77,266,MAPC,Sharon,1,1,5,1,1,1,2,1,1,0
78,269,MAPC,Sherborn,0,0,0,0,0,0,0,0,0,0
79,274,MAPC,Somerville,2,2,1,3,1,3,1,4,0,1
80,277,MAPC,Southborough,1,2,0,2,1,2,0,1,0,1
81,284,MAPC,Stoneham,1,2,0,2,3,0,0,0,2,0
82,285,MAPC/OCPC,Stoughton,1,5,1,3,1,3,5,1,3,2
83,286,MAPC,Stow,0,0,0,0,0,0,0,0,0,1
84,288,MAPC,Sudbury,0,0,1,0,0,3,1,2,1,1
85,291,MAPC,Swampscott,1,0,0,1,0,0,0,0,0,0
86,298,MAPC,Topsfield,1,1,0,0,1,0,0,0,0,0
87,305,MAPC,Wakefield,2,1,4,0,2,5,1,0,0,0
88,307,MAPC,Walpole,1,0,2,1,0,4,4,0,0,1
89,308,MAPC,Waltham,4,0,2,3,0,1,5,4,1,2
90,314,MAPC,Watertown,2,0,4,0,1,1,0,0,0,1
91,315,MAPC,Wayland,0,0,1,0,1,1,1,0,0,0
92,317,MAPC,Wellesley,0,0,0,3,1,0,2,0,2,1
93,320,MAPC,Wenham,0,1,0,0,1,0,1,0,0,1
94,333,MAPC,Weston,2,4,1,4,2,0,0,0,3,1
95,335,MAPC,Westwood,1,0,0,1,1,1,0,0,0,1
96,336,MAPC,Weymouth,4,3,0,0,1,2,0,6,4,0
97,342,MAPC,Wilmington,3,1,3,0,1,1,1,3,0,1
98,344,MAPC,Winchester,0,1,2,0,0,0,1,0,0,0
