OBJECTID,City_num,RPA,Town_Name,All_Injuries_2004,All_Injuries_2005,All_Injuries_2006,All_Injuries_2007,All_Injuries_2008,All_Injuries_2009,All_Injuries_2010,All_Injuries_2011,All_Injuries_2012,All_Injuries_2013,All_Fatalities_2004,All_Fatalities_2005,All_Fatalities_2006,All_Fatalities_2007,All_Fatalities_2008,All_Fatalities_2009,All_Fatalities_2010,All_Fatalities_2011,All_Fatalities_2012,All_Fatalities_2013
1,2,MAPC,Acton,119,131,121,85,86,88,90,76,77,77,0,0,0,1,3,0,0,1,0,0
2,10,MAPC,Arlington,76,127,153,99,121,153,117,67,128,123,0,0,0,2,0,0,0,0,0,1
3,14,MAPC,Ashland,64,84,67,67,95,87,70,62,64,58,1,1,0,1,2,1,0,1,0,2
4,23,MAPC,Bedford,108,84,103,91,83,94,76,97,87,83,0,0,2,2,1,1,1,0,0,1
5,25,MAPC,Bellingham,147,162,166,145,129,105,155,76,101,112,3,1,1,3,1,5,0,1,1,2
6,26,MAPC,Belmont,97,107,132,107,95,94,98,97,76,83,1,1,0,1,0,1,0,0,0,0
7,30,MAPC,Beverly,271,254,255,243,239,166,211,185,214,160,1,1,0,1,1,1,1,0,2,1
8,34,MAPC,Bolton,73,66,75,76,85,46,60,59,59,62,2,0,1,1,1,3,1,0,1,0
9,35,MAPC,Boston,2800,3882,4004,3118,2818,2003,2342,1842,1669,1775,25,18,24,31,26,16,18,18,29,19
10,37,MAPC,Boxborough,20,20,21,17,19,19,16,21,25,30,0,0,0,1,0,0,1,1,0,1
11,40,MAPC,Braintree,450,558,490,454,390,375,391,364,321,379,4,0,1,2,1,1,2,0,4,1
12,46,MAPC,Brookline,261,362,321,273,217,206,33,162,165,94,1,1,1,0,1,0,0,1,1,1
13,48,MAPC,Burlington,213,262,327,269,281,208,174,173,138,223,0,0,2,2,0,3,0,3,2,0
14,49,MAPC,Cambridge,625,711,686,581,562,545,508,459,494,455,3,4,2,2,4,0,1,2,2,3
15,50,MAPC,Canton,204,242,230,208,238,203,202,159,180,161,4,0,1,2,2,1,2,0,3,3
16,51,MAPC,Carlisle,19,18,17,10,18,14,7,24,10,13,0,0,0,0,0,0,0,0,0,0
17,57,MAPC,Chelsea,339,342,359,357,274,311,272,204,239,255,2,3,2,2,1,1,3,3,0,1
18,65,MAPC,Cohasset,31,44,36,40,27,35,37,25,39,32,0,0,0,0,1,0,1,0,1,0
19,67,MAPC,Concord,125,136,127,136,141,86,80,97,92,94,0,0,1,0,0,1,1,0,1,0
